TimeStamp,Speed,EyeArea
0.0000,0.5970,144.5686
0.0167,0.5528,144.4752
0.0333,0.4377,141.9099
0.0500,0.2962,140.8581
0.0667,0.1700,140.9272
0.0833,0.0835,141.1892
0.1000,0.0330,142.0214
0.1167,0.0075,142.2858
0.1333,0.0000,142.3430
0.1500,0.0000,142.1997
0.1667,0.0000,143.4360
0.1833,0.0000,144.0787
0.2000,0.0000,144.1407
0.2167,0.0000,144.5151
0.2333,0.0160,145.0855
0.2500,0.0699,144.5128
0.2667,0.1598,142.5446
0.2833,0.2821,142.8947
0.3000,0.4260,143.1923
0.3167,0.5469,140.7058
0.3333,0.6008,140.0124
0.3500,0.5641,139.3822
0.3667,0.4503,138.5960
0.3833,0.3077,138.1928
0.4000,0.1785,139.1832
0.4167,0.0886,137.9265
0.4333,0.0356,136.5836
0.4500,0.0086,136.8456
0.4667,0.0000,136.9152
0.4833,0.0000,138.2788
0.5000,0.0138,137.4040
0.5167,0.0658,138.0458
0.5333,0.1568,139.4737
0.5500,0.2791,139.1901
0.5667,0.4256,136.3860
0.5833,0.5522,133.1211
0.6000,0.6136,134.4030
0.6167,0.5818,135.1138
0.6333,0.4695,134.1646
0.6500,0.3242,134.0622
0.6667,0.1894,131.3541
0.6833,0.0953,128.0164
0.7000,0.0385,127.6053
0.7167,0.0097,130.2761
0.7333,0.0000,130.4563
0.7500,0.0000,130.5803
0.7667,0.0000,130.8365
0.7833,0.0102,132.2592
0.8000,0.0566,135.0806
0.8167,0.1382,134.7604
0.8333,0.2516,136.8620
0.8500,0.3865,135.4019
0.8667,0.5090,136.1807
0.8833,0.5710,134.6246
0.9000,0.5460,134.1102
0.9167,0.4466,129.8170
0.9333,0.3094,132.7283
0.9500,0.1840,137.0982
0.9667,0.0919,142.6525
0.9833,0.0382,140.3182
1.0000,0.0097,136.4750
1.0167,0.0000,131.7829
1.0333,0.0000,128.4603
1.0500,0.0000,133.4774
1.0667,0.0000,136.9744
1.0833,0.0000,136.7856
1.1000,0.0000,134.1099
1.1167,0.0074,133.7330
1.1333,0.0520,132.0175
1.1500,0.1321,134.8134
1.1667,0.2443,134.8580
1.1833,0.3792,133.8139
1.2000,0.5085,133.9707
1.2167,0.5783,134.3340
1.2333,0.5603,135.1802
1.2500,0.4638,134.5765
1.2667,0.3244,134.1258
1.2833,0.2013,129.7657
1.3000,0.1467,130.5241
1.3167,0.1692,131.0242
1.3333,0.2487,132.5789
1.3500,0.3740,132.2554
1.3667,0.5056,134.0996
1.3833,0.5783,132.6430
1.4000,0.5694,130.5531
1.4167,0.5171,132.2569
1.4333,0.4619,135.3030
1.4500,0.4435,136.5131
1.4667,0.4919,139.7064
1.4833,0.5703,136.6809
1.5000,0.6192,138.2491
1.5167,0.5967,136.2605
1.5333,0.4949,134.8094
1.5500,0.3518,137.0609
1.5667,0.2100,137.9398
1.5833,0.1082,140.1752
1.6000,0.0457,138.2247
1.6167,0.0125,139.2961
1.6333,0.0041,137.0742
1.6500,0.0435,138.2006
1.6667,0.1279,135.1718
1.6833,0.2378,135.7566
1.7000,0.3854,136.8742
1.7167,0.5248,131.2357
1.7333,0.6122,131.2440
1.7500,0.6063,130.7095
1.7667,0.5075,128.8790
1.7833,0.3645,130.9345
1.8000,0.2186,133.0615
1.8167,0.1126,133.5416
1.8333,0.0480,134.1805
1.8500,0.0133,134.8607
1.8667,0.0000,131.5568
1.8833,0.0000,129.7273
1.9000,0.0023,135.1686
1.9167,0.0439,136.0496
1.9333,0.1379,130.0541
1.9500,0.2613,132.1374
1.9667,0.4298,139.1591
1.9833,0.5752,138.9834
2.0000,0.6996,136.2365
2.0167,0.6993,130.6350
2.0333,0.5894,136.8952
2.0500,0.4384,133.5799
2.0667,0.2274,132.4582
2.0833,0.0676,138.3255
2.1000,-0.1177,139.3707
2.1167,-0.2480,136.9468
2.1333,-0.3718,135.8371
2.1500,-0.3779,132.3653
2.1667,-0.2913,135.0539
2.1833,-0.1344,128.3956
2.2000,0.1322,136.1376
2.2167,0.2965,138.7480
2.2333,0.4110,130.3742
2.2500,0.3933,128.8740
2.2667,0.2999,131.7522
2.2833,0.2067,137.4686
2.3000,0.0997,140.5763
2.3167,0.0533,131.9992
2.3333,0.0137,134.8563
2.3500,0.0029,134.1487
2.3667,0.0000,132.9631
2.3833,0.0000,131.2974
2.4000,0.0283,129.9882
2.4167,0.0812,130.3116
2.4333,0.1810,132.3238
2.4500,0.2835,128.1382
2.4667,0.4232,131.7869
2.4833,0.4978,130.3053
2.5000,0.5138,130.4083
2.5167,0.4502,128.6238
2.5333,0.3259,127.6259
2.5500,0.2152,125.2593
2.5667,0.1089,126.7318
2.5833,0.0550,129.9281
2.6000,0.0158,131.7796
2.6167,0.0027,132.9776
2.6333,0.0000,134.9453
2.6500,0.0000,131.9685
2.6667,0.0000,132.7404
2.6833,0.0000,133.6251
2.7000,0.0000,137.6767
2.7167,0.0000,135.3262
2.7333,0.0000,132.7676
2.7500,0.0000,140.2929
2.7667,0.0000,140.1501
2.7833,0.0000,137.2246
2.8000,0.0266,136.1329
2.8167,0.0867,132.8102
2.8333,0.1821,135.3905
2.8500,0.2945,135.0304
2.8667,0.4317,134.0310
2.8833,0.5203,133.8999
2.9000,0.5415,134.1877
2.9167,0.4795,135.3169
2.9333,0.3564,135.2285
2.9500,0.2352,135.2121
2.9667,0.0987,135.2782
2.9833,-0.0259,134.7986
3.0000,-0.1603,135.2254
3.0167,-0.2937,140.4254
3.0333,-0.4324,142.8001
3.0500,-0.5231,140.9156
3.0667,-0.5464,141.7894
3.0833,-0.4865,142.8436
3.1000,-0.3642,144.1894
3.1167,-0.2382,144.9986
3.1333,-0.1288,139.9400
3.1500,-0.0615,140.1405
3.1667,-0.0210,142.6380
3.1833,-0.0037,142.2145
3.2000,0.0000,141.2643
3.2167,0.0000,142.5201
3.2333,0.0000,139.4224
3.2500,0.0000,140.7293
3.2667,-0.0246,140.8652
3.2833,-0.0872,141.2260
3.3000,-0.1826,140.6126
3.3167,-0.3072,140.5010
3.3333,-0.4463,140.8650
3.3500,-0.5479,142.8590
3.3667,-0.5753,143.3743
3.3833,-0.5152,143.9614
3.4000,-0.3939,143.2892
3.4167,-0.2560,144.9970
3.4333,-0.1412,147.6194
3.4500,-0.0671,147.2613
3.4667,-0.0242,147.9280
3.4833,-0.0044,149.7271
3.5000,0.0000,151.8072
3.5167,0.0000,153.9118
3.5333,0.0000,153.6948
3.5500,0.0000,155.3370
3.5667,0.0000,156.4174
3.5833,0.0000,158.2491
3.6000,0.0000,157.8181
3.6167,0.0000,156.5355
3.6333,0.0000,155.4341
3.6500,0.0000,155.1928
3.6667,0.0000,155.1689
3.6833,-0.0222,155.6463
3.7000,-0.0838,155.7325
3.7167,-0.1790,153.1660
3.7333,-0.3082,150.2125
3.7500,-0.4501,149.0840
3.7667,-0.5613,149.6096
3.7833,-0.5975,150.1879
3.8000,-0.5432,149.7784
3.8167,-0.4214,150.2206
3.8333,-0.2791,149.7098
3.8500,-0.1579,150.0761
3.8667,-0.0759,151.5044
3.8833,-0.0290,150.0851
3.9000,-0.0059,148.2871
3.9167,0.0000,148.9595
3.9333,0.0000,148.4961
3.9500,0.0000,149.5986
3.9667,0.0000,150.9766
3.9833,0.0000,150.5801
4.0000,0.0000,149.3906
4.0167,-0.0191,148.4799
4.0333,-0.0779,147.0323
4.0500,-0.1728,146.8819
4.0667,-0.3013,147.1049
4.0833,-0.4452,145.9636
4.1000,-0.5635,147.0046
4.1167,-0.6083,148.5251
4.1333,-0.5609,148.7591
4.1500,-0.4459,150.4180
4.1667,-0.3015,152.7402
4.1833,-0.1695,153.5046
4.2000,-0.0829,152.2336
4.2167,-0.0325,150.7859
4.2333,-0.0073,151.8232
4.2500,0.0000,152.6879
4.2667,0.0000,152.9211
4.2833,0.0000,153.7639
4.3000,0.0000,154.7347
4.3167,0.0000,154.2987
4.3333,0.0000,151.8434
4.3500,0.0000,151.4415
4.3667,0.0000,151.2611
4.3833,0.0000,150.5047
4.4000,0.0000,152.6472
4.4167,0.0000,154.5398
4.4333,0.0000,153.2454
4.4500,0.0000,149.5138
4.4667,0.0000,150.1409
4.4833,0.0000,151.9406
4.5000,0.0000,150.9026
4.5167,0.0000,151.7314
4.5333,0.0000,150.1509
4.5500,0.0000,144.7591
4.5667,0.0000,145.9085
4.5833,0.0000,146.8897
4.6000,0.0000,147.4497
4.6167,0.0000,146.3668
4.6333,0.0000,147.6680
4.6500,0.0000,147.7613
4.6667,0.0000,147.3398
4.6833,0.0000,146.0420
4.7000,0.0000,147.5877
4.7167,0.0000,146.8230
4.7333,0.0000,149.7551
4.7500,0.0000,150.8894
4.7667,0.0000,150.8403
4.7833,0.0000,150.0756
4.8000,0.0000,148.6650
4.8167,0.0000,150.5651
4.8333,0.0000,152.8132
4.8500,0.0000,154.4149
4.8667,0.0000,156.7227
4.8833,0.0000,157.8946
4.9000,0.0000,157.6896
4.9167,0.0000,157.7135
4.9333,0.0000,159.0584
4.9500,0.0000,164.8224
4.9667,0.0000,166.2661
4.9833,0.0000,165.9738
5.0000,0.0000,168.2423
5.0167,0.0000,168.0948
5.0333,0.0000,170.4224
5.0500,0.0000,169.4589
5.0667,0.0000,169.8393
5.0833,0.0000,172.5635
5.1000,0.0000,175.2425
5.1167,0.0000,175.4109
5.1333,0.0000,177.6594
5.1500,0.0000,178.4794
5.1667,0.0000,180.2749
5.1833,0.0000,182.0405
5.2000,0.0000,180.3784
5.2167,0.0000,181.7420
5.2333,0.0000,179.9603
5.2500,0.0000,177.4364
5.2667,0.0000,176.8009
5.2833,0.0000,176.5681
5.3000,0.0000,178.0279
5.3167,0.0000,179.6979
5.3333,0.0000,177.5152
5.3500,0.0000,181.3229
5.3667,0.0000,182.8675
5.3833,0.0000,180.2229
5.4000,0.0000,181.3864
5.4167,0.0000,182.9418
5.4333,0.0000,182.0623
5.4500,0.0000,180.5766
5.4667,0.0000,185.8910
5.4833,0.0000,182.1059
5.5000,0.0000,182.2401
5.5167,0.0000,183.5871
5.5333,0.0000,178.7657
5.5500,0.0000,175.9786
5.5667,0.0000,176.8452
5.5833,0.0000,178.3486
5.6000,0.0000,178.8496
5.6167,0.0000,175.8414
5.6333,0.0000,179.1371
5.6500,0.0000,176.8552
5.6667,0.0000,177.5883
5.6833,0.0000,178.7586
5.7000,0.0000,178.7157
5.7167,0.0000,174.8930
5.7333,0.0000,174.3540
5.7500,0.0000,172.7391
5.7667,0.0000,173.0602
5.7833,0.0000,174.3186
5.8000,0.0000,173.2980
5.8167,0.0000,175.2910
5.8333,0.0000,172.3577
5.8500,0.0000,169.7157
5.8667,0.0000,168.7601
5.8833,0.0000,170.7233
5.9000,0.0000,173.4825
5.9167,0.0000,174.8845
5.9333,0.0000,171.9461
5.9500,0.0000,171.2797
5.9667,0.0000,171.3817
5.9833,0.0000,169.5082
6.0000,0.0000,169.7518
6.0167,0.0000,171.2814
6.0333,0.0000,174.8106
6.0500,0.0000,171.3145
6.0667,0.0000,172.4524
6.0833,0.0000,173.4515
6.1000,0.0000,171.5010
6.1167,0.0000,173.2215
6.1333,0.0000,174.2990
6.1500,0.0000,173.4037
6.1667,0.0000,170.6996
6.1833,0.0000,167.7596
6.2000,0.0000,166.4888
6.2167,0.0000,169.7493
6.2333,0.0000,170.5550
6.2500,0.0000,169.0562
6.2667,0.0000,168.7353
6.2833,0.0000,168.3897
6.3000,0.0000,169.4684
6.3167,0.0000,170.8584
6.3333,0.0000,172.4030
6.3500,0.0000,169.1644
6.3667,0.0000,168.6817
6.3833,0.0000,170.7823
6.4000,0.0000,171.1825
6.4167,0.0000,172.1555
6.4333,0.0000,170.0595
6.4500,0.0000,168.2591
6.4667,0.0000,166.2860
6.4833,0.0000,166.2381
6.5000,0.0000,165.8730
6.5167,0.0000,166.4792
6.5333,0.0000,165.2847
6.5500,0.0000,165.0694
6.5667,0.0000,165.4557
6.5833,0.0000,166.7621
6.6000,0.0000,164.7541
6.6167,0.0000,162.6963
6.6333,0.0000,163.8748
6.6500,0.0000,161.6431
6.6667,0.0000,160.3822
6.6833,0.0000,161.8262
6.7000,0.0000,161.8227
6.7167,0.0000,163.2809
6.7333,0.0000,164.9884
6.7500,0.0000,164.8818
6.7667,0.0000,162.5799
6.7833,0.0000,162.9388
6.8000,0.0000,164.5591
6.8167,0.0000,164.7117
6.8333,0.0000,165.3678
6.8500,0.0000,165.0774
6.8667,0.0000,165.8128
6.8833,0.0000,166.5712
6.9000,0.0000,165.6114
6.9167,0.0000,164.7174
6.9333,0.0000,163.3604
6.9500,0.0000,164.6271
6.9667,0.0000,164.2792
6.9833,0.0000,161.6318
7.0000,0.0000,161.0394
7.0167,0.0000,160.1154
7.0333,0.0000,161.0510
7.0500,0.0000,163.0961
7.0667,0.0000,163.2805
7.0833,0.0000,163.9996
7.1000,0.0000,164.2013
7.1167,0.0000,164.1998
7.1333,0.0000,164.2964
7.1500,0.0000,162.2317
7.1667,0.0000,161.8833
7.1833,0.0000,162.1207
7.2000,0.0000,160.6714
7.2167,0.0000,160.3887
7.2333,0.0000,160.0444
7.2500,0.0000,160.0778
7.2667,0.0000,162.8239
7.2833,0.0000,165.0813
7.3000,0.0000,164.6229
7.3167,0.0000,163.3114
7.3333,0.0000,163.6705
7.3500,0.0000,163.4354
7.3667,0.0000,163.5128
7.3833,0.0000,167.0967
7.4000,0.0000,166.6999
7.4167,0.0000,165.0391
7.4333,0.0000,164.4065
7.4500,0.0000,166.1332
7.4667,0.0000,164.7349
7.4833,0.0000,163.9278
7.5000,0.0000,162.8708
7.5167,0.0000,161.2105
7.5333,0.0000,162.7807
7.5500,0.0000,161.7393
7.5667,0.0000,158.6020
7.5833,0.0000,158.6274
7.6000,0.0000,159.0447
7.6167,0.0000,159.9408
7.6333,0.0000,160.5326
7.6500,0.0000,160.5786
7.6667,0.0000,161.2665
7.6833,0.0000,162.5938
7.7000,0.0000,158.5618
7.7167,0.0000,155.6477
7.7333,0.0000,154.0394
7.7500,0.0000,152.0349
7.7667,0.0000,151.1491
7.7833,0.0000,152.8124
7.8000,0.0000,150.0307
7.8167,0.0000,150.9869
7.8333,0.0000,151.9800
7.8500,0.0000,153.4026
7.8667,0.0000,153.7420
7.8833,0.0000,154.2681
7.9000,0.0000,153.8752
7.9167,0.0000,154.8439
7.9333,0.0000,153.9304
7.9500,0.0000,152.2700
7.9667,0.0000,152.5006
7.9833,0.0000,155.2633
8.0000,0.0000,154.5071
8.0167,0.0000,154.9351
8.0333,0.0000,154.9872
8.0500,0.0000,155.9004
8.0667,0.0000,153.3773
8.0833,0.0000,152.3407
8.1000,0.0000,152.0240
8.1167,0.0000,150.5971
8.1333,0.0000,150.3216
8.1500,0.0000,149.4671
8.1667,0.0000,149.5859
8.1833,0.0000,149.4475
8.2000,0.0000,149.3767
8.2167,0.0000,147.7992
8.2333,0.0000,149.2638
8.2500,0.0000,148.0239
8.2667,0.0000,148.3024
8.2833,0.0000,147.9071
8.3000,0.0000,147.1883
8.3167,0.0000,147.1191
8.3333,0.0000,145.7662
8.3500,0.0000,145.7704
8.3667,0.0000,145.2317
8.3833,0.0000,147.5178
8.4000,0.0000,145.2223
8.4167,0.0000,143.1901
8.4333,0.0000,141.5429
8.4500,0.0000,140.8186
8.4667,0.0000,138.9075
8.4833,0.0000,137.0030
8.5000,0.0000,135.8342
8.5167,0.0000,136.3021
8.5333,0.0000,138.0267
8.5500,0.0000,136.7066
8.5667,0.0000,138.0549
8.5833,0.0000,138.9224
8.6000,0.0000,137.7467
8.6167,0.0000,138.8109
8.6333,0.0000,138.3551
8.6500,0.0000,137.8767
8.6667,0.0000,135.6193
8.6833,0.0000,135.9747
8.7000,0.0000,134.5769
8.7167,0.0000,133.9563
8.7333,0.0000,136.2580
8.7500,0.0000,135.6923
8.7667,0.0000,137.1232
8.7833,0.0000,140.1885
8.8000,0.0000,139.3813
8.8167,0.0000,141.0416
8.8333,0.0000,137.5680
8.8500,0.0000,138.0547
8.8667,0.0000,136.9305
8.8833,0.0073,137.2850
8.9000,0.0510,136.6453
8.9167,0.1294,137.2722
8.9333,0.2423,136.4113
8.9500,0.3763,135.7410
8.9667,0.5061,139.2690
8.9833,0.5752,137.5545
9.0000,0.5564,140.3330
9.0167,0.4605,140.0169
9.0333,0.3217,137.9387
9.0500,0.1938,138.2873
9.0667,0.1040,136.2431
9.0833,0.0916,138.1156
9.1000,0.1478,138.6488
9.1167,0.2510,137.4844
9.1333,0.3986,141.2451
9.1500,0.5327,142.7335
9.1667,0.6101,143.2175
9.1833,0.5947,141.1987
9.2000,0.4905,142.0257
9.2167,0.3477,147.7467
9.2333,0.2060,146.8836
9.2500,0.1059,148.9493
9.2667,0.0443,150.0271
9.2833,0.0121,153.8027
9.3000,0.0000,155.1351
9.3167,0.0000,155.2495
9.3333,0.0000,155.4818
9.3500,0.0000,153.6608
9.3667,0.0000,149.7066
9.3833,0.0000,148.5918
9.4000,0.0000,149.8347
9.4167,0.0000,148.2578
9.4333,0.0000,145.5482
9.4500,0.0042,145.9579
9.4667,0.0453,147.5936
9.4833,0.1217,148.3709
9.5000,0.2329,150.9441
9.5167,0.3697,153.1394
9.5333,0.5055,155.9288
9.5500,0.5834,153.7482
9.5667,0.5728,151.1546
9.5833,0.4813,151.7683
9.6000,0.3379,150.6145
9.6167,0.2052,151.8254
9.6333,0.1041,154.5347
9.6500,0.0452,154.2171
9.6667,0.0121,151.5660
9.6833,0.0000,153.1617
9.7000,0.0000,152.6045
9.7167,0.0000,149.6893
9.7333,0.0000,151.8246
9.7500,0.0000,150.5080
9.7667,0.0000,150.2957
9.7833,0.0000,151.4093
9.8000,0.0000,149.6753
9.8167,0.0017,148.8056
9.8333,0.0407,145.5484
9.8500,0.1160,147.8324
9.8667,0.2250,149.1939
9.8833,0.3589,149.1234
9.9000,0.4996,149.2428
9.9167,0.5830,149.8243
9.9333,0.5781,149.6130
