ClusterID,Channel,UnitType,UnitArea
0,1,good,PFC
2,1,mua,PFC
3,1,good,PFC
4,4,mua,PFC
6,1,mua,PFC
7,4,good,PFC
10,4,good,PFC
11,8,mua,PFC
12,8,good,PFC
18,45,mua,PFC
22,12,good,PFC
23,11,mua,PFC
24,11,mua,PFC
29,13,mua,PFC
30,14,mua,PFC
31,16,good,PFC
33,117,mua,PFC
37,16,good,PFC
41,17,mua,PFC
43,18,mua,PFC
44,18,good,PFC
46,22,good,PFC
47,17,good,PFC
48,107,mua,PFC
49,17,good,PFC
51,17,good,PFC
52,17,good,PFC
54,24,mua,PFC
55,24,mua,PFC
56,26,good,PFC
58,26,mua,PFC
60,22,good,PFC
63,28,mua,PFC
65,25,good,PFC
66,26,good,PFC
67,28,good,PFC
71,27,mua,PFC
72,28,good,PFC
73,29,good,PFC
76,32,mua,PFC
77,32,good,PFC
83,35,mua,PFC
84,33,good,PFC
86,35,good,PFC
88,32,good,PFC
92,36,mua,PFC
94,40,good,PFC
96,39,mua,PFC
97,35,mua,PFC
98,40,good,PFC
99,42,good,PFC
100,40,good,PFC
104,39,good,PFC
106,42,mua,PFC
107,41,mua,PFC
109,41,good,PFC
112,44,good,PFC
113,41,good,PFC
114,46,mua,PFC
115,47,mua,PFC
119,50,mua,PFC
123,46,mua,PFC
127,50,mua,PFC
131,50,good,PFC
132,49,good,PFC
133,51,good,PFC
135,89,mua,PFC
137,56,good,PFC
142,56,good,PFC
143,53,good,PFC
146,60,good,PFC
147,60,good,PFC
148,60,good,PFC
155,163,mua,PFC
156,58,mua,PFC
157,60,mua,PFC
162,60,mua,PFC
163,62,good,PFC
165,64,good,PFC
168,64,mua,PFC
169,64,mua,PFC
171,65,good,PFC
175,66,good,PFC
178,76,mua,PFC
187,75,mua,PFC
189,76,good,PFC
193,76,good,PFC
196,78,mua,PFC
202,79,mua,PFC
203,84,good,PFC
204,82,good,PFC
205,81,good,PFC
208,81,good,PFC
211,84,good,PFC
213,82,good,PFC
214,82,mua,PFC
216,88,mua,PFC
217,88,mua,PFC
219,85,mua,PFC
221,85,good,PFC
222,85,good,PFC
225,92,mua,PFC
227,84,good,PFC
229,87,mua,PFC
248,93,good,PFC
251,100,mua,PFC
263,97,mua,PFC
265,102,mua,PFC
267,20,mua,PFC
269,104,good,PFC
274,28,mua,PFC
308,118,good,PFC
309,126,mua,PFC
310,128,good,PFC
311,121,mua,PFC
312,124,good,PFC
318,126,mua,PFC
319,20,mua,PFC
320,129,good,PFC
327,133,mua,PFC
332,139,mua,PFC
335,141,good,PFC
336,143,mua,PFC
338,144,good,PFC
339,147,good,PFC
340,147,mua,PFC
345,20,mua,PFC
348,148,mua,PFC
349,61,mua,PFC
351,150,mua,PFC
353,149,mua,PFC
354,125,mua,PFC
356,153,mua,PFC
357,153,good,PFC
360,157,mua,PFC
361,160,mua,PFC
363,164,mua,PFC
365,168,mua,PFC
366,92,mua,PFC
367,170,mua,PFC
368,172,mua,PFC
369,175,mua,PFC
370,177,mua,PFC
371,173,mua,PFC
372,88,mua,PFC
373,107,mua,PFC
374,28,mua,PFC
376,61,mua,PFC
377,179,mua,PFC
380,90,mua,PFC
381,28,mua,PFC
382,57,mua,PFC
384,181,mua,PFC
385,181,mua,PFC
386,187,mua,PFC
387,187,mua,PFC
388,190,mua,PFC
389,190,mua,PFC
394,28,mua,PFC
395,311,mua,Undefined
396,93,good,PFC
397,199,good,PFC
398,203,mua,Undefined
399,100,mua,PFC
400,53,mua,PFC
401,206,mua,Undefined
402,109,mua,PFC
403,207,mua,Undefined
405,65,mua,PFC
406,209,mua,Undefined
407,210,mua,Undefined
408,211,mua,Undefined
410,336,mua,Undefined
411,215,mua,Undefined
412,95,mua,PFC
413,216,mua,Undefined
415,217,mua,Undefined
416,220,mua,Undefined
417,219,mua,Undefined
419,220,good,Undefined
420,64,mua,PFC
421,221,mua,Undefined
422,222,mua,Undefined
423,221,mua,Undefined
424,223,mua,Undefined
425,224,mua,Undefined
427,227,mua,Undefined
428,228,mua,Undefined
429,88,mua,PFC
430,227,mua,Undefined
431,51,good,PFC
434,232,mua,Undefined
435,63,mua,PFC
436,227,mua,Undefined
440,107,mua,PFC
441,51,mua,PFC
442,236,mua,Undefined
443,311,mua,Undefined
444,28,mua,PFC
445,240,mua,Undefined
446,239,mua,Undefined
