TimeStamp,Speed,EyeArea
0.0000,9.3991,NaN
0.0167,9.1961,NaN
0.0333,8.9486,NaN
0.0500,8.7279,NaN
0.0667,8.4991,NaN
0.0833,8.3130,NaN
0.1000,8.2287,NaN
0.1167,8.2416,NaN
0.1333,8.3027,NaN
0.1500,8.3599,NaN
0.1667,8.3593,NaN
0.1833,8.2461,NaN
0.2000,8.0093,NaN
0.2167,7.6596,NaN
0.2333,7.1823,NaN
0.2500,6.6563,NaN
0.2667,6.0754,NaN
0.2833,5.5612,NaN
0.3000,5.1531,NaN
0.3167,4.9244,NaN
0.3333,4.9484,NaN
0.3500,5.2234,NaN
0.3667,5.7471,NaN
0.3833,6.3728,NaN
0.4000,7.0866,NaN
0.4167,7.7628,NaN
0.4333,8.3749,NaN
0.4500,9.0714,NaN
0.4667,9.6504,NaN
0.4833,10.1070,NaN
0.5000,10.4756,NaN
0.5167,10.7151,NaN
0.5333,10.8725,NaN
0.5500,10.9273,NaN
0.5667,10.9041,NaN
0.5833,10.7876,NaN
0.6000,10.5342,NaN
0.6167,10.2104,NaN
0.6333,9.8841,NaN
0.6500,9.6713,NaN
0.6667,9.6215,NaN
0.6833,9.8022,NaN
0.7000,10.1766,NaN
0.7167,10.5954,NaN
0.7333,10.9476,NaN
0.7500,11.0649,NaN
0.7667,10.9149,NaN
0.7833,10.5422,NaN
0.8000,9.9298,NaN
0.8167,9.2240,NaN
0.8333,8.3761,NaN
0.8500,7.6066,NaN
0.8667,7.0288,NaN
0.8833,6.7063,NaN
0.9000,6.5853,NaN
0.9167,6.6588,NaN
0.9333,6.8551,NaN
0.9500,7.0939,NaN
0.9667,7.3010,NaN
0.9833,7.4173,NaN
1.0000,7.4286,NaN
1.0167,7.3077,NaN
1.0333,7.0220,NaN
1.0500,6.5802,NaN
1.0667,5.9516,NaN
1.0833,5.1883,NaN
1.1000,4.4222,NaN
1.1167,3.6763,NaN
1.1333,3.1655,NaN
1.1500,2.9483,NaN
1.1667,2.9922,NaN
1.1833,3.3047,NaN
1.2000,3.7981,NaN
1.2167,4.3694,NaN
1.2333,4.9206,NaN
1.2500,5.3313,NaN
1.2667,5.6171,NaN
1.2833,5.7593,NaN
1.3000,5.8392,NaN
1.3167,5.9361,NaN
1.3333,6.0885,NaN
1.3500,6.3124,NaN
1.3667,6.6406,NaN
1.3833,6.9763,NaN
1.4000,7.3470,NaN
1.4167,7.6837,NaN
1.4333,7.9650,NaN
1.4500,8.1633,NaN
1.4667,8.2802,NaN
1.4833,8.2561,265.2256
1.5000,8.0514,NaN
1.5167,7.7817,NaN
1.5333,7.6089,NaN
1.5500,7.5972,NaN
1.5667,7.7945,NaN
1.5833,8.2063,NaN
1.6000,8.6845,NaN
1.6167,9.1925,NaN
1.6333,9.5832,NaN
1.6500,9.7827,NaN
1.6667,9.7931,NaN
1.6833,9.6451,NaN
1.7000,9.3563,NaN
1.7167,8.8816,NaN
1.7333,8.3330,NaN
1.7500,7.6061,NaN
1.7667,6.9331,NaN
1.7833,6.1571,NaN
1.8000,5.5133,NaN
1.8167,5.2165,NaN
1.8333,5.1647,NaN
1.8500,5.4824,NaN
1.8667,6.2191,NaN
1.8833,7.2014,NaN
1.9000,8.4729,NaN
1.9167,9.6986,NaN
1.9333,10.9543,NaN
1.9500,11.8724,NaN
1.9667,12.5525,NaN
1.9833,12.7597,NaN
2.0000,12.5630,NaN
2.0167,12.0597,NaN
2.0333,11.2688,NaN
2.0500,10.4248,NaN
2.0667,9.5320,NaN
2.0833,8.8190,NaN
2.1000,8.2251,238.6447
2.1167,7.8875,238.3505
2.1333,7.7479,240.6481
2.1500,7.7558,242.1394
2.1667,7.8353,242.6534
2.1833,7.8569,NaN
2.2000,7.7053,NaN
2.2167,7.3442,NaN
2.2333,6.8267,NaN
2.2500,6.2231,NaN
2.2667,5.5640,NaN
2.2833,4.9239,NaN
2.3000,4.3772,NaN
2.3167,4.0552,NaN
2.3333,3.9939,NaN
2.3500,4.2172,NaN
2.3667,4.7141,NaN
2.3833,5.3865,NaN
2.4000,6.2123,NaN
2.4167,7.0398,NaN
2.4333,7.8283,NaN
2.4500,8.5305,NaN
2.4667,9.1381,NaN
2.4833,9.6008,NaN
2.5000,9.9796,NaN
2.5167,10.2872,NaN
2.5333,10.5168,NaN
