TimeStamp,Speed,EyeArea
0.0000,NaN,NaN
0.0167,0.0000,265.1002
0.0333,0.0000,263.8084
0.0500,0.0000,265.4888
0.0667,0.0000,267.1159
0.0833,0.0000,265.4800
0.1000,0.0000,263.8440
0.1167,0.0000,265.0133
0.1333,0.0000,265.9232
0.1500,0.0000,264.4823
0.1667,0.0000,263.0414
0.1833,0.0000,263.6393
0.2000,0.0000,264.2674
0.2167,0.0000,261.9120
0.2333,0.0000,259.2754
0.2500,0.0000,256.1879
0.2667,0.0000,252.9957
0.2833,0.0000,251.5406
0.3000,0.0000,250.2604
0.3167,0.0000,251.1907
0.3333,0.0000,252.2484
0.3500,0.0000,252.5967
0.3667,0.0000,252.8980
0.3833,0.0000,252.8980
0.4000,0.0000,252.8775
0.4167,0.0000,253.0218
0.4333,0.0000,253.1778
0.4500,0.0000,251.9208
0.4667,0.0000,250.5764
0.4833,0.0000,250.9608
0.5000,0.0000,251.4858
0.5167,0.0000,253.1958
0.5333,0.0000,254.9843
0.5500,0.0000,254.9121
0.5667,0.0000,254.7200
0.5833,0.0000,254.8856
0.6000,0.0000,255.0969
0.6167,0.0000,252.5944
0.6333,0.0000,249.8066
0.6500,0.0000,251.0718
0.6667,0.0000,252.7100
0.6833,0.0000,253.7381
0.7000,0.0000,254.7093
0.7167,0.0000,255.8124
0.7333,0.0000,256.9155
0.7500,0.0000,258.7987
0.7667,0.0000,261.0484
0.7833,0.0000,261.3552
0.8000,0.0000,261.5218
0.8167,0.0000,261.8894
0.8333,0.0000,262.2677
0.8500,0.0000,262.8911
0.8667,0.0000,263.1416
0.8833,0.0000,259.7554
0.9000,0.0000,256.3692
0.9167,0.0000,259.4603
0.9333,0.0000,262.8557
0.9500,0.0000,263.3456
0.9667,0.0000,263.4239
0.9833,0.0000,265.3502
1.0000,0.0000,267.6351
1.0167,0.0000,267.0429
1.0333,0.0000,265.9846
1.0500,0.0000,264.2393
1.0667,0.0000,262.4096
1.0833,0.0000,268.8997
1.1000,0.0000,276.3554
1.1167,0.0000,273.2582
1.1333,0.0000,269.3650
1.1500,0.0000,271.7416
1.1667,0.0000,274.6986
1.1833,-0.0070,273.9149
1.2000,-0.0155,272.3266
1.2167,-0.0325,273.2369
1.2333,-0.0506,274.4880
1.2500,-0.0743,272.8130
1.2667,-0.0987,270.7503
1.2833,-0.1307,274.1722
1.3000,-0.1642,278.6509
1.3167,-0.1977,278.1622
1.3333,-0.2313,276.8441
1.3500,-0.2530,275.6112
1.3667,-0.2729,274.3908
1.3833,-0.2782,273.0436
1.4000,-0.2782,271.6503
1.4167,-0.2603,271.3880
1.4333,-0.2390,271.3460
1.4500,-0.2081,270.0891
1.4667,-0.1753,268.6037
1.4833,-0.1415,268.0820
1.5000,-0.1074,267.7909
1.5167,-0.0816,268.7149
1.5333,-0.0572,269.8378
1.5500,-0.0403,268.5058
1.5667,-0.0251,266.6356
1.5833,-0.0160,267.7429
1.6000,-0.0078,269.3404
1.6167,-0.0037,271.0505
1.6333,-0.0005,272.7849
1.6500,0.0000,272.1899
1.6667,0.0000,271.1159
1.6833,0.0000,271.8740
1.7000,0.0000,272.8776
1.7167,0.0000,272.0483
1.7333,0.0000,270.8834
1.7500,0.0000,271.0621
1.7667,0.0000,271.2408
1.7833,0.0000,272.9038
1.8000,0.0000,274.9679
1.8167,0.0000,275.8608
1.8333,0.0000,276.7721
1.8500,0.0000,277.7951
1.8667,0.0000,277.2828
1.8833,0.0000,276.4273
1.9000,0.0000,271.9446
1.9167,0.0000,267.3601
1.9333,0.0000,268.8420
1.9500,0.0000,271.4624
1.9667,0.0000,270.5671
1.9833,0.0000,269.5006
2.0000,0.0000,268.6627
2.0167,0.0000,267.8802
2.0333,0.0000,268.4103
2.0500,0.0000,269.3856
2.0667,0.0000,268.6920
2.0833,0.0000,267.5984
2.1000,0.0000,267.4088
2.1167,0.0000,267.4825
2.1333,0.0000,266.2834
2.1500,0.0000,264.7642
2.1667,0.0000,265.6691
2.1833,0.0000,267.4470
2.2000,0.0000,265.6822
2.2167,0.0000,263.6782
2.2333,0.0000,261.6095
2.2500,0.0000,259.5190
2.2667,0.0065,260.5940
2.2833,0.0150,262.6776
2.3000,0.0327,265.4066
2.3167,0.0535,268.3526
2.3333,0.0769,266.7231
2.3500,0.1003,264.8524
2.3667,0.1345,267.0980
2.3833,0.1721,270.7160
2.4000,0.2045,271.0046
2.4167,0.2364,271.0367
2.4333,0.2602,273.5493
2.4500,0.2815,276.8062
2.4667,0.2878,278.5022
2.4833,0.2878,279.5392
2.5000,0.2776,282.3259
2.5167,0.2624,285.9534
2.5333,0.2486,287.2599
2.5500,0.2348,288.3878
2.5667,0.2259,290.6483
2.5833,0.2189,293.3798
2.6000,0.2199,293.9714
2.6167,0.2309,291.8747
2.6333,0.2485,291.2968
2.6500,0.2684,291.2694
2.6667,0.2904,293.1463
2.6833,0.3132,295.7025
2.7000,0.3316,297.5605
2.7167,0.3483,299.1493
2.7333,0.3558,298.3858
2.7500,0.3605,296.9358
2.7667,0.3613,297.2684
2.7833,0.3619,297.7267
2.8000,0.3626,299.9024
2.8167,0.3633,302.2425
2.8333,0.3612,304.1902
2.8500,0.3577,305.9393
2.8667,0.3455,307.9520
2.8833,0.3293,310.0852
2.9000,0.3020,311.3364
2.9167,0.2708,312.2746
2.9333,0.2335,311.7319
2.9500,0.1936,310.5486
2.9667,0.1575,307.9718
2.9833,0.1227,304.8705
3.0000,0.0928,305.2425
3.0167,0.0653,307.4067
3.0333,0.0460,307.8737
3.0500,0.0302,307.6123
3.0667,0.0188,305.7853
3.0833,0.0096,303.1508
3.1000,0.0045,301.0513
3.1167,0.0010,299.1739
3.1333,0.0000,299.2875
3.1500,0.0000,298.6648
3.1667,0.0000,294.9808
3.1833,0.0000,293.5146
3.2000,0.0000,293.1843
3.2167,0.0000,294.4648
3.2333,0.0000,296.6431
3.2500,0.0000,296.5545
3.2667,0.0000,295.3171
3.2833,0.0000,295.8821
3.3000,0.0000,297.4889
3.3167,0.0000,298.0542
3.3333,0.0000,298.0603
3.3500,0.0000,298.7409
3.3667,0.0000,299.7482
3.3833,0.0000,298.9408
3.4000,0.0000,297.2045
3.4167,0.0000,297.4292
3.4333,0.0000,298.6100
3.4500,0.0000,297.7416
3.4667,0.0000,295.9257
3.4833,0.0000,295.9890
3.5000,0.0000,297.1454
3.5167,0.0000,298.6436
3.5333,0.0000,300.3568
3.5500,0.0000,299.6953
3.5667,0.0000,297.9203
3.5833,0.0000,298.3124
3.6000,0.0000,299.9728
3.6167,0.0000,300.6860
3.6333,0.0000,300.8980
3.6500,0.0000,300.3248
3.6667,0.0000,299.2301
3.6833,0.0000,297.1905
3.7000,0.0000,294.7001
3.7167,0.0000,292.7770
3.7333,0.0000,291.1611
3.7500,0.0000,291.6139
3.7667,0.0000,293.2179
3.7833,0.0000,291.6340
3.8000,0.0000,288.1231
3.8167,0.0000,286.0109
3.8333,0.0000,284.6385
3.8500,0.0000,282.9289
3.8667,0.0000,280.9777
3.8833,0.0000,279.6036
3.9000,0.0000,278.6550
3.9167,0.0000,277.9852
3.9333,0.0000,277.4860
3.9500,0.0000,278.8837
3.9667,0.0000,281.6274
3.9833,0.0000,281.3078
4.0000,0.0000,278.5994
4.0167,0.0000,278.1046
4.0333,0.0000,280.7707
4.0500,0.0000,280.5465
4.0667,0.0000,277.9757
4.0833,0.0000,279.4158
4.1000,0.0000,283.8296
4.1167,0.0000,282.8686
4.1333,0.0000,278.2613
