ClusterID,Channel,UnitType,UnitArea
1,363,mua,Undefined
2,362,mua,Undefined
4,11,mua,PFC
5,360,mua,Undefined
8,15,mua,PFC
9,18,mua,PFC
10,18,mua,PFC
12,20,good,PFC
13,19,good,PFC
15,360,mua,Undefined
16,23,mua,PFC
18,356,mua,Undefined
20,31,good,PFC
21,360,good,Undefined
22,30,good,PFC
26,37,mua,PFC
27,36,good,PFC
30,33,good,PFC
31,38,good,PFC
32,39,good,PFC
33,360,mua,Undefined
34,39,good,PFC
35,43,good,PFC
36,41,good,PFC
38,360,good,Undefined
41,48,good,PFC
42,48,good,PFC
43,49,good,PFC
47,47,good,PFC
48,48,good,PFC
49,360,mua,Undefined
51,51,mua,PFC
52,51,good,PFC
53,49,mua,PFC
55,363,mua,Undefined
58,49,good,PFC
61,49,mua,PFC
62,56,good,PFC
64,54,good,PFC
77,58,mua,PFC
78,360,good,Undefined
83,58,good,PFC
84,59,good,PFC
85,57,good,PFC
86,362,mua,Undefined
87,63,good,PFC
91,67,good,PFC
92,67,good,PFC
93,65,good,PFC
95,67,mua,PFC
107,71,mua,PFC
109,362,mua,Undefined
122,360,mua,Undefined
124,75,mua,PFC
128,74,mua,PFC
133,74,mua,PFC
138,360,good,Undefined
139,363,mua,Undefined
143,77,good,PFC
151,82,mua,PFC
157,86,good,PFC
166,89,good,PFC
169,88,good,PFC
172,89,good,PFC
174,89,good,PFC
181,94,good,PFC
189,98,mua,PFC
205,102,good,PFC
212,105,mua,PFC
213,360,mua,Undefined
220,362,mua,Undefined
221,109,good,PFC
226,109,good,PFC
227,114,good,PFC
228,112,good,PFC
229,114,good,PFC
232,360,mua,Undefined
236,360,mua,Undefined
240,360,mua,Undefined
241,360,mua,Undefined
245,360,mua,Undefined
246,360,mua,Undefined
247,363,mua,Undefined
248,130,mua,PFC
255,360,mua,Undefined
258,360,mua,Undefined
263,360,mua,Undefined
267,360,mua,Undefined
273,150,mua,PFC
278,154,mua,PFC
282,156,good,PFC
283,360,mua,Undefined
287,160,mua,PFC
288,160,mua,PFC
289,160,good,PFC
290,360,mua,Undefined
291,161,mua,PFC
293,336,mua,Undefined
297,360,mua,Undefined
299,172,good,PFC
300,172,mua,PFC
301,353,mua,Undefined
302,174,mua,PFC
303,360,mua,Undefined
304,177,mua,PFC
305,178,good,PFC
306,356,mua,Undefined
307,182,mua,PFC
308,183,mua,PFC
309,185,mua,PFC
310,184,good,PFC
311,344,mua,Undefined
312,353,mua,Undefined
313,363,mua,Undefined
315,193,mua,PFC
316,195,mua,PFC
317,360,mua,Undefined
318,360,mua,Undefined
319,202,mua,PFC
320,202,mua,PFC
321,321,mua,Undefined
322,360,mua,Undefined
323,206,mua,PFC
324,362,mua,Undefined
325,204,mua,PFC
326,203,mua,PFC
327,362,mua,Undefined
328,210,mua,PFC
329,212,mua,PFC
330,356,mua,Undefined
331,363,mua,Undefined
332,360,mua,Undefined
333,360,mua,Undefined
334,214,mua,PFC
335,221,mua,PFC
336,356,mua,Undefined
338,356,mua,Undefined
339,356,mua,Undefined
340,228,mua,Undefined
341,228,mua,Undefined
342,234,mua,Undefined
343,356,mua,Undefined
344,235,mua,Undefined
345,238,mua,Undefined
346,236,mua,Undefined
347,237,mua,Undefined
348,235,mua,Undefined
349,241,mua,Undefined
350,239,mua,Undefined
351,240,mua,Undefined
352,336,mua,Undefined
353,246,mua,Undefined
354,244,mua,Undefined
355,246,mua,Undefined
356,342,mua,Undefined
357,243,mua,Undefined
358,245,mua,Undefined
360,249,mua,Undefined
361,248,mua,Undefined
362,247,mua,Undefined
363,363,mua,Undefined
364,247,mua,Undefined
365,344,mua,Undefined
366,251,mua,Undefined
367,252,mua,Undefined
368,360,mua,Undefined
369,251,mua,Undefined
370,252,mua,Undefined
371,253,mua,Undefined
372,344,mua,Undefined
373,238,mua,Undefined
374,233,mua,Undefined
375,360,mua,Undefined
376,255,mua,Undefined
