ClusterID,Channel,UnitType,UnitArea
0,4,good,PFC
1,4,mua,PFC
2,7,mua,PFC
3,6,mua,PFC
4,7,mua,PFC
5,5,good,PFC
6,10,mua,PFC
7,7,good,PFC
8,8,mua,PFC
9,12,good,PFC
10,8,good,PFC
11,10,mua,PFC
12,12,good,PFC
13,12,good,PFC
14,10,mua,PFC
15,16,good,PFC
16,15,good,PFC
17,13,good,PFC
18,16,good,PFC
19,15,mua,PFC
20,15,mua,PFC
21,15,good,PFC
23,13,good,PFC
24,13,mua,PFC
25,20,good,PFC
26,18,good,PFC
27,17,good,PFC
28,18,mua,PFC
29,17,good,PFC
30,16,mua,PFC
31,19,mua,PFC
32,15,good,PFC
33,15,mua,PFC
35,23,mua,PFC
36,23,good,PFC
37,23,mua,PFC
38,21,mua,PFC
40,22,good,PFC
41,21,good,PFC
42,353,mua,Undefined
44,24,mua,PFC
45,22,good,PFC
46,21,good,PFC
48,28,mua,PFC
49,27,mua,PFC
50,25,good,PFC
51,28,mua,PFC
52,25,good,PFC
55,25,good,PFC
58,25,good,PFC
59,28,mua,PFC
61,31,mua,PFC
63,29,good,PFC
64,32,good,PFC
65,30,good,PFC
67,29,good,PFC
69,29,good,PFC
72,36,good,PFC
74,35,good,PFC
77,36,good,PFC
78,36,good,PFC
83,40,mua,PFC
84,40,good,PFC
85,40,good,PFC
86,40,good,PFC
87,36,good,PFC
91,37,good,PFC
92,38,mua,PFC
93,40,good,PFC
95,42,good,PFC
97,41,good,PFC
98,46,mua,PFC
99,42,good,PFC
101,42,good,PFC
103,44,good,PFC
108,48,mua,PFC
109,45,good,PFC
113,52,mua,PFC
115,51,good,PFC
117,49,good,PFC
120,52,good,PFC
124,53,mua,PFC
125,54,good,PFC
126,56,mua,PFC
127,55,good,PFC
128,53,mua,PFC
129,55,good,PFC
135,60,mua,PFC
137,58,good,PFC
140,60,good,PFC
142,57,good,PFC
144,60,good,PFC
145,62,mua,PFC
149,61,good,PFC
150,62,good,PFC
152,61,good,PFC
153,64,good,PFC
155,68,good,PFC
157,68,good,PFC
159,68,good,PFC
164,69,good,PFC
166,70,good,PFC
167,71,good,PFC
169,70,good,PFC
174,72,good,PFC
176,75,mua,PFC
177,76,mua,PFC
179,73,good,PFC
181,76,good,PFC
182,79,mua,PFC
184,78,good,PFC
185,82,good,PFC
186,80,good,PFC
187,80,good,PFC
189,84,good,PFC
191,84,good,PFC
194,84,good,PFC
196,85,good,PFC
197,83,good,PFC
199,82,mua,PFC
200,82,mua,PFC
201,88,mua,PFC
203,85,mua,PFC
204,86,mua,PFC
206,85,mua,PFC
207,85,good,PFC
208,88,good,PFC
209,86,good,PFC
210,89,good,PFC
220,92,good,PFC
221,90,good,PFC
222,92,good,PFC
225,93,good,PFC
227,95,mua,PFC
232,96,good,PFC
234,96,good,PFC
235,96,good,PFC
237,100,good,PFC
240,100,good,PFC
244,97,good,PFC
245,99,mua,PFC
250,100,good,PFC
254,101,good,PFC
255,104,good,PFC
258,108,good,PFC
259,107,good,PFC
270,112,good,PFC
271,113,mua,PFC
272,115,mua,PFC
273,115,good,PFC
275,115,good,PFC
276,116,good,PFC
277,113,good,PFC
280,120,good,PFC
281,119,mua,PFC
282,120,mua,PFC
285,121,good,PFC
286,124,good,PFC
289,128,mua,PFC
290,126,good,PFC
293,131,mua,PFC
294,132,good,PFC
297,13,mua,PFC
298,125,mua,PFC
302,137,good,PFC
303,139,mua,PFC
304,76,mua,PFC
305,137,mua,PFC
306,142,good,PFC
309,146,good,PFC
311,144,good,PFC
312,143,good,PFC
315,141,good,PFC
318,148,mua,PFC
319,150,mua,PFC
320,145,mua,PFC
322,145,good,PFC
325,149,mua,PFC
327,148,good,PFC
328,154,good,PFC
333,153,good,PFC
334,156,good,PFC
335,156,good,PFC
337,158,good,PFC
340,157,mua,PFC
342,158,good,PFC
346,163,good,PFC
347,163,mua,PFC
352,163,mua,PFC
356,166,mua,PFC
357,165,good,PFC
361,165,mua,PFC
362,170,mua,PFC
363,172,mua,PFC
364,170,good,PFC
366,169,good,PFC
367,171,good,PFC
371,176,mua,PFC
373,173,good,PFC
