ClusterID,Channel,UnitType,UnitArea
0,1,mua,PFC
1,4,good,PFC
2,4,good,PFC
3,2,mua,PFC
4,4,good,PFC
5,2,good,PFC
6,7,mua,PFC
7,6,good,PFC
8,5,good,PFC
9,7,good,PFC
10,6,good,PFC
11,7,mua,PFC
12,6,mua,PFC
13,7,mua,PFC
14,5,good,PFC
15,7,good,PFC
16,5,good,PFC
17,5,good,PFC
18,3,good,PFC
19,7,mua,PFC
20,8,good,PFC
21,8,good,PFC
22,12,good,PFC
23,8,mua,PFC
24,12,good,PFC
25,12,mua,PFC
26,9,good,PFC
27,12,mua,PFC
28,12,good,PFC
29,10,good,PFC
30,12,good,PFC
31,13,good,PFC
32,11,good,PFC
33,12,mua,PFC
34,9,good,PFC
35,15,good,PFC
36,13,good,PFC
37,15,mua,PFC
38,14,good,PFC
39,14,mua,PFC
41,16,good,PFC
42,17,good,PFC
43,13,good,PFC
45,16,good,PFC
46,17,good,PFC
47,16,good,PFC
48,17,good,PFC
49,17,good,PFC
50,20,good,PFC
53,20,mua,PFC
54,19,mua,PFC
55,18,good,PFC
56,24,good,PFC
57,24,good,PFC
58,23,good,PFC
59,24,good,PFC
60,22,good,PFC
62,21,good,PFC
63,23,good,PFC
64,23,good,PFC
67,24,mua,PFC
68,22,mua,PFC
69,28,good,PFC
72,27,good,PFC
73,28,good,PFC
74,30,good,PFC
75,28,good,PFC
76,26,good,PFC
77,27,good,PFC
80,28,mua,PFC
81,30,mua,PFC
82,28,mua,PFC
83,27,good,PFC
84,27,good,PFC
85,26,good,PFC
86,28,good,PFC
87,25,good,PFC
88,32,good,PFC
91,32,good,PFC
92,31,good,PFC
94,30,mua,PFC
97,32,good,PFC
102,32,good,PFC
105,32,mua,PFC
106,29,good,PFC
107,30,good,PFC
108,31,good,PFC
109,29,good,PFC
110,29,good,PFC
111,33,mua,PFC
113,36,mua,PFC
114,37,mua,PFC
116,35,mua,PFC
120,37,mua,PFC
121,35,good,PFC
124,36,good,PFC
125,33,good,PFC
126,40,good,PFC
127,40,mua,PFC
128,39,mua,PFC
129,37,good,PFC
132,38,mua,PFC
133,39,good,PFC
135,40,good,PFC
136,37,mua,PFC
137,42,mua,PFC
139,44,mua,PFC
140,41,good,PFC
141,41,good,PFC
142,44,good,PFC
143,48,good,PFC
144,48,good,PFC
145,45,good,PFC
146,47,good,PFC
147,48,good,PFC
