TimeStamp,Speed,EyeArea
0.0000,NaN,NaN
0.0167,0.0000,105.2159
0.0333,0.0000,105.0922
0.0500,0.0000,103.6496
0.0667,0.0000,101.3347
0.0833,0.0000,101.2668
0.1000,0.0000,102.7355
0.1167,0.0000,103.7969
0.1333,0.0000,104.5701
0.1500,0.0000,105.9533
0.1667,0.0000,107.7444
0.1833,0.0000,109.9806
0.2000,0.0000,112.5169
0.2167,0.0000,111.6233
0.2333,0.0000,108.2918
0.2500,0.0000,108.0742
0.2667,0.0000,109.9172
0.2833,0.0000,111.8484
0.3000,0.0000,113.8418
0.3167,0.0000,114.5657
0.3333,0.0000,114.4547
0.3500,0.0000,114.4941
0.3667,0.0000,114.6277
0.3833,0.0000,115.4268
0.4000,0.0000,116.6610
0.4167,0.0000,115.4073
0.4333,0.0000,112.5243
0.4500,-0.0054,109.2329
0.4667,-0.0142,105.6795
0.4833,-0.0294,106.4431
0.5000,-0.0487,110.0255
0.5167,-0.0726,111.5880
0.5333,-0.0993,111.8878
0.5500,-0.1314,114.1402
0.5667,-0.1668,117.5687
0.5833,-0.2023,119.1109
0.6000,-0.2380,119.5296
0.6167,-0.2654,118.5147
0.6333,-0.2879,116.6911
0.6500,-0.2962,115.5884
0.6667,-0.2962,114.9053
0.6833,-0.2815,114.6576
0.7000,-0.2590,114.6418
0.7167,-0.2282,115.3069
0.7333,-0.1927,116.3531
0.7500,-0.1573,116.6277
0.7667,-0.1219,116.4696
0.7833,-0.0978,117.0835
0.8000,-0.0800,118.1252
0.8167,-0.0760,119.6276
0.8333,-0.0793,121.3726
0.8500,-0.0920,123.2264
0.8667,-0.1097,125.1403
0.8833,-0.1368,126.8708
0.9000,-0.1688,128.5027
0.9167,-0.2032,127.6028
0.9333,-0.2387,125.3996
0.9500,-0.2655,123.2387
0.9667,-0.2881,121.0989
0.9833,-0.2958,123.6591
1.0000,-0.2958,128.6810
1.0167,-0.2808,129.9223
1.0333,-0.2579,129.1864
1.0500,-0.2266,130.6939
1.0667,-0.1913,133.2685
1.0833,-0.1560,133.2673
1.1000,-0.1208,132.0125
1.1167,-0.0972,131.7582
1.1333,-0.0794,131.9968
1.1500,-0.0762,130.9149
1.1667,-0.0797,129.2275
1.1833,-0.0931,128.2363
1.2000,-0.1112,127.5788
1.2167,-0.1391,128.1759
1.2333,-0.1712,129.3046
1.2500,-0.2057,130.1816
1.2667,-0.2412,130.9502
1.2833,-0.2679,130.8167
1.3000,-0.2907,130.2779
1.3167,-0.2977,129.3563
1.3333,-0.2977,128.2648
1.3500,-0.2878,127.2920
1.3667,-0.2740,126.3652
1.3833,-0.2585,126.3866
1.4000,-0.2422,126.8005
1.4167,-0.2314,127.9411
1.4333,-0.2228,129.3655
1.4500,-0.2267,128.7975
1.4667,-0.2357,127.4318
1.4833,-0.2525,127.5280
1.5000,-0.2723,128.2263
1.5167,-0.2882,129.3241
1.5333,-0.3023,130.5881
1.5500,-0.3101,130.9406
1.5667,-0.3155,130.9395
1.5833,-0.3143,130.3682
1.6000,-0.3106,129.5727
1.6167,-0.3028,125.5125
1.6333,-0.2935,120.2474
1.6500,-0.2904,120.3199
1.6667,-0.2899,122.5397
1.6833,-0.2960,123.2837
1.7000,-0.3045,123.4995
1.7167,-0.3115,122.8942
1.7333,-0.3180,121.9874
1.7500,-0.3133,121.7371
1.7667,-0.3042,121.7467
1.7833,-0.2823,122.9939
1.8000,-0.2563,124.6342
1.8167,-0.2234,125.9670
