ClusterID,Channel,UnitType,UnitArea
1,1,good,Undefined
2,2,good,Undefined
4,2,good,Undefined
5,2,good,Undefined
7,4,mua,Undefined
8,76,mua,TH
10,7,mua,Undefined
13,8,mua,Undefined
14,10,good,Undefined
18,12,good,Undefined
19,10,good,Undefined
20,10,good,Undefined
21,11,mua,Undefined
22,14,good,Undefined
23,365,mua,VCX
24,14,good,Undefined
25,15,mua,Undefined
26,18,good,Undefined
27,14,good,Undefined
28,14,mua,Undefined
30,14,good,Undefined
32,19,mua,Undefined
33,18,mua,Undefined
34,17,good,Undefined
35,19,good,Undefined
36,20,mua,Undefined
37,21,good,Undefined
38,18,good,Undefined
39,21,good,Undefined
41,18,good,Undefined
42,22,mua,Undefined
43,22,good,Undefined
46,20,mua,Undefined
47,22,good,Undefined
50,24,mua,Undefined
51,24,good,Undefined
53,22,good,Undefined
55,22,good,Undefined
56,27,good,Undefined
57,25,good,Undefined
59,26,good,Undefined
60,26,mua,Undefined
62,31,mua,Undefined
63,27,good,Undefined
64,22,good,Undefined
65,29,good,Undefined
68,31,good,Undefined
71,30,good,Undefined
72,30,good,Undefined
76,32,good,Undefined
81,31,good,Undefined
83,31,mua,Undefined
84,31,mua,Undefined
85,33,good,Undefined
86,35,good,Undefined
87,36,good,Undefined
88,33,good,Undefined
90,34,good,Undefined
91,35,mua,Undefined
93,33,good,Undefined
94,34,good,Undefined
95,36,good,Undefined
96,36,good,Undefined
97,33,good,Undefined
100,38,good,Undefined
101,40,mua,Undefined
102,40,mua,Undefined
103,38,good,Undefined
104,40,mua,Undefined
105,39,mua,Undefined
106,37,good,Undefined
109,37,good,Undefined
110,43,good,Undefined
111,44,good,Undefined
112,42,good,Undefined
113,42,mua,Undefined
114,41,good,Undefined
115,41,good,Undefined
116,44,mua,Undefined
117,43,good,Undefined
118,37,good,Undefined
120,38,good,Undefined
121,46,good,Undefined
122,47,good,Undefined
123,45,good,Undefined
124,46,good,Undefined
125,48,good,Undefined
126,46,good,Undefined
127,50,good,Undefined
134,48,good,Undefined
136,51,good,Undefined
138,50,mua,Undefined
139,55,good,Undefined
140,53,good,Undefined
141,56,good,Undefined
142,55,good,Undefined
144,54,mua,Undefined
145,55,mua,Undefined
146,55,good,Undefined
147,54,good,Undefined
148,53,good,Undefined
150,54,good,Undefined
151,55,good,Undefined
152,53,good,Undefined
153,54,mua,Undefined
154,56,good,Undefined
155,58,good,Undefined
156,60,good,Undefined
157,59,mua,Undefined
158,59,mua,Undefined
159,58,good,Undefined
160,57,good,Undefined
161,58,mua,Undefined
162,58,good,Undefined
163,57,good,Undefined
164,57,good,Undefined
165,57,good,Undefined
166,63,good,Undefined
167,63,good,Undefined
170,62,good,Undefined
171,61,good,Undefined
172,61,good,Undefined
173,64,mua,Undefined
174,65,mua,Undefined
175,67,good,Undefined
177,65,mua,Undefined
179,67,good,Undefined
181,69,good,Undefined
183,70,good,Undefined
187,72,good,TH
189,71,good,TH
190,75,mua,TH
191,76,mua,TH
192,75,good,TH
193,74,good,TH
194,73,mua,TH
196,76,good,TH
197,78,good,TH
201,79,good,TH
204,82,good,TH
205,83,good,TH
206,84,good,TH
207,82,good,TH
209,85,good,TH
210,85,good,TH
211,87,good,TH
212,85,good,TH
213,85,good,TH
216,86,mua,TH
217,87,mua,TH
218,85,good,TH
219,90,mua,TH
221,89,mua,TH
222,91,mua,TH
224,92,good,TH
225,96,mua,TH
226,94,good,TH
227,95,mua,TH
228,97,good,TH
229,98,good,TH
230,99,mua,TH
231,98,good,TH
232,100,good,TH
234,97,good,TH
235,97,good,TH
237,104,good,TH
238,102,good,TH
239,107,good,TH
240,107,good,TH
243,108,good,TH
244,108,good,TH
245,107,good,TH
247,112,good,TH
248,112,good,TH
250,110,mua,TH
251,111,good,TH
253,111,good,TH
254,110,good,TH
255,110,good,TH
259,115,good,TH
260,113,good,TH
261,116,good,TH
262,113,good,TH
263,115,good,TH
264,115,mua,TH
265,114,mua,TH
266,113,good,TH
269,118,good,TH
270,119,good,TH
272,114,good,TH
273,119,good,TH
274,120,good,TH
275,310,good,VCX
277,125,good,Undefined
278,312,mua,VCX
279,367,mua,VCX
280,316,good,VCX
282,311,mua,VCX
283,235,mua,HCX
284,340,mua,VCX
286,134,mua,Undefined
287,139,mua,Undefined
288,369,mua,VCX
289,154,mua,HCX
290,146,mua,HCX
291,70,good,Undefined
292,143,good,Undefined
293,145,mua,HCX
294,339,good,VCX
295,152,mua,HCX
296,154,mua,HCX
299,152,mua,HCX
300,106,mua,TH
302,155,good,HCX
303,155,good,HCX
304,155,good,HCX
305,155,mua,HCX
307,98,mua,TH
317,159,mua,HCX
320,161,good,HCX
321,158,mua,HCX
323,160,good,HCX
325,159,mua,HCX
326,157,good,HCX
330,158,good,HCX
331,157,mua,HCX
332,163,good,HCX
333,161,good,HCX
338,162,mua,HCX
342,157,mua,HCX
344,163,good,HCX
346,166,mua,HCX
349,167,good,HCX
350,158,mua,HCX
354,172,good,HCX
356,172,good,HCX
357,170,mua,HCX
358,170,good,HCX
360,159,mua,HCX
361,171,good,HCX
362,175,good,HCX
364,179,mua,HCX
366,154,mua,HCX
367,158,mua,HCX
368,181,mua,HCX
369,184,mua,HCX
370,187,mua,HCX
371,154,mua,HCX
373,188,good,HCX
374,189,good,HCX
376,195,mua,HCX
377,154,mua,HCX
379,197,good,HCX
380,203,mua,HCX
382,201,good,HCX
383,201,good,HCX
384,207,mua,HCX
385,207,good,HCX
386,205,good,HCX
387,207,mua,HCX
388,212,good,HCX
389,233,mua,HCX
390,216,mua,HCX
391,212,good,HCX
392,213,good,HCX
393,215,good,HCX
395,215,mua,HCX
396,213,good,HCX
397,233,mua,HCX
399,219,mua,HCX
400,223,good,HCX
402,223,good,HCX
403,221,good,HCX
404,221,good,HCX
405,229,mua,HCX
406,223,good,HCX
410,221,good,HCX
411,221,mua,HCX
413,225,mua,HCX
414,221,good,HCX
421,229,mua,HCX
422,233,mua,HCX
427,233,mua,HCX
429,234,good,HCX
431,233,mua,HCX
432,234,mua,HCX
433,235,mua,HCX
439,235,mua,HCX
443,233,good,HCX
444,239,good,HCX
445,238,mua,HCX
446,236,mua,HCX
452,238,good,HCX
454,237,good,HCX
458,240,mua,HCX
465,245,good,HCX
466,247,mua,HCX
467,246,good,HCX
468,251,mua,HCX
469,249,mua,HCX
470,250,good,HCX
471,249,good,HCX
474,253,good,HCX
476,254,good,HCX
479,258,good,HCX
480,256,mua,HCX
484,258,good,HCX
485,258,mua,HCX
486,337,good,VCX
487,261,good,HCX
488,262,mua,HCX
490,265,good,HCX
491,267,good,HCX
492,54,good,Undefined
494,267,good,HCX
495,72,mua,TH
496,264,good,HCX
497,271,mua,HCX
498,271,mua,HCX
500,275,good,HCX
502,340,good,VCX
503,274,good,HCX
505,273,good,HCX
506,277,mua,HCX
508,279,mua,HCX
509,279,good,HCX
510,278,mua,HCX
511,279,good,HCX
512,277,mua,HCX
513,279,good,HCX
515,277,mua,HCX
517,279,good,HCX
519,310,mua,VCX
520,337,mua,VCX
523,281,mua,VCX
526,341,mua,VCX
527,285,good,VCX
529,336,mua,VCX
530,308,mua,VCX
535,329,mua,VCX
536,290,mua,VCX
537,289,good,VCX
538,291,mua,VCX
539,289,mua,VCX
540,290,mua,VCX
541,295,mua,VCX
542,293,mua,VCX
546,301,mua,VCX
554,293,mua,VCX
555,296,mua,VCX
556,297,mua,VCX
557,297,mua,VCX
558,298,mua,VCX
559,297,good,VCX
561,301,mua,VCX
564,299,mua,VCX
566,297,mua,VCX
567,305,mua,VCX
568,305,mua,VCX
569,302,mua,VCX
570,302,mua,VCX
571,303,mua,VCX
573,302,mua,VCX
574,301,mua,VCX
587,313,mua,VCX
608,313,good,VCX
609,314,mua,VCX
610,318,mua,VCX
613,318,good,VCX
617,310,good,VCX
625,323,mua,VCX
629,323,mua,VCX
631,321,mua,VCX
633,322,mua,VCX
634,325,mua,VCX
637,327,mua,VCX
639,326,mua,VCX
640,334,mua,VCX
641,329,good,VCX
642,331,mua,VCX
643,330,mua,VCX
644,330,mua,VCX
645,329,good,VCX
646,331,mua,VCX
647,335,mua,VCX
648,334,mua,VCX
649,334,mua,VCX
650,332,mua,VCX
651,333,mua,VCX
652,337,good,VCX
653,338,mua,VCX
657,337,good,VCX
664,340,mua,VCX
667,343,mua,VCX
670,341,mua,VCX
671,340,good,VCX
674,344,mua,VCX
676,344,mua,VCX
680,348,mua,VCX
681,348,mua,VCX
682,354,mua,VCX
683,364,mua,VCX
684,354,mua,VCX
685,353,mua,VCX
686,353,mua,VCX
687,356,mua,VCX
688,356,mua,VCX
689,356,mua,VCX
690,356,mua,VCX
691,367,mua,VCX
692,367,mua,VCX
696,361,mua,VCX
697,368,mua,VCX
698,364,mua,VCX
699,364,mua,VCX
700,364,mua,VCX
702,369,mua,VCX
703,369,mua,VCX
704,369,mua,VCX
705,2,good,Undefined
706,3,good,Undefined
707,10,mua,Undefined
708,14,good,Undefined
709,15,good,Undefined
710,23,mua,Undefined
711,23,good,Undefined
712,24,mua,Undefined
713,32,good,Undefined
714,27,mua,Undefined
715,30,good,Undefined
716,34,mua,Undefined
717,36,mua,Undefined
718,35,good,Undefined
719,43,mua,Undefined
720,51,mua,Undefined
721,49,good,Undefined
722,50,mua,Undefined
723,66,good,Undefined
724,65,mua,Undefined
725,70,good,Undefined
726,70,mua,Undefined
727,72,good,TH
728,76,good,TH
729,74,good,TH
730,82,mua,TH
731,86,good,TH
732,91,good,TH
733,101,mua,TH
734,108,good,TH
735,109,good,TH
736,110,good,TH
737,117,good,TH
738,134,good,Undefined
739,156,mua,HCX
740,154,good,HCX
741,154,mua,HCX
742,157,mua,HCX
743,158,mua,HCX
744,160,good,HCX
745,158,mua,HCX
746,163,mua,HCX
747,167,good,HCX
748,157,mua,HCX
749,180,good,HCX
750,195,mua,HCX
751,215,mua,HCX
752,221,good,HCX
753,221,mua,HCX
754,225,mua,HCX
755,229,mua,HCX
756,229,mua,HCX
757,233,mua,HCX
758,233,mua,HCX
759,235,mua,HCX
760,238,mua,HCX
761,238,mua,HCX
762,254,mua,HCX
763,253,mua,HCX
764,254,mua,HCX
765,257,good,HCX
766,264,good,HCX
767,274,good,HCX
768,281,mua,VCX
769,287,mua,VCX
770,277,mua,HCX
771,285,mua,VCX
772,295,mua,VCX
773,295,good,VCX
774,293,good,VCX
775,294,good,VCX
776,298,mua,VCX
777,298,good,VCX
778,305,mua,VCX
779,310,mua,VCX
780,308,mua,VCX
781,305,mua,VCX
782,310,mua,VCX
783,311,mua,VCX
784,319,mua,VCX
785,310,mua,VCX
786,317,mua,VCX
787,322,mua,VCX
788,324,mua,VCX
789,336,mua,VCX
790,337,mua,VCX
791,343,mua,VCX
792,347,mua,VCX
793,344,mua,VCX
794,345,mua,VCX
795,360,mua,VCX
796,367,mua,VCX
