TimeStamp,Speed,EyeArea
0.0000,NaN,NaN
0.0167,0.0000,103.7256
0.0333,0.0000,102.9939
0.0500,0.0000,103.2737
0.0667,0.0000,104.2750
0.0833,0.0000,103.6970
0.1000,0.0000,101.1380
0.1167,0.0000,101.9289
0.1333,0.0000,103.7272
0.1500,0.0000,102.3169
0.1667,0.0000,101.1574
0.1833,0.0000,103.7207
0.2000,0.0000,106.8153
0.2167,0.0000,106.3497
0.2333,0.0000,105.7653
0.2500,0.0000,104.7902
0.2667,0.0000,105.2292
0.2833,0.0000,107.7364
0.3000,0.0000,106.9458
0.3167,0.0000,107.5548
0.3333,0.0000,109.7261
0.3500,0.0000,108.8498
0.3667,0.0000,108.3714
0.3833,0.0000,106.3317
0.4000,0.0000,102.7484
0.4167,0.0000,103.7949
0.4333,0.0000,108.0647
0.4500,0.0000,109.6737
0.4667,0.0000,106.6227
0.4833,0.0000,103.9179
0.5000,0.0000,102.1479
0.5167,0.0000,101.2390
0.5333,0.0000,102.4800
0.5500,0.0000,103.7465
0.5667,0.0000,102.9648
0.5833,0.0000,101.7266
0.6000,0.0000,102.7315
0.6167,0.0000,104.1508
0.6333,0.0000,104.1562
0.6500,0.0000,103.2708
0.6667,0.0000,101.5253
0.6833,0.0000,100.7713
0.7000,0.0000,102.3687
0.7167,0.0000,103.8171
0.7333,0.0000,102.4584
0.7500,0.0000,104.3804
0.7667,0.0000,103.4931
0.7833,0.0000,102.7881
0.8000,0.0000,99.7724
0.8167,0.0000,100.0912
0.8333,0.0000,101.7019
0.8500,0.0000,100.1693
0.8667,0.0000,99.7237
0.8833,0.0000,101.1711
0.9000,0.0000,100.4935
0.9167,0.0000,102.2641
0.9333,0.0000,103.3885
0.9500,0.0000,103.5927
0.9667,0.0000,105.1833
0.9833,0.0000,103.4636
1.0000,0.0000,102.1865
1.0167,0.0000,102.8817
1.0333,0.0000,102.9311
1.0500,0.0000,102.9688
1.0667,0.0000,102.5251
1.0833,0.0000,100.4561
1.1000,0.0000,98.7777
1.1167,0.0000,94.7333
1.1333,0.0000,93.7682
1.1500,0.0000,94.0512
1.1667,0.0000,97.6057
1.1833,0.0000,93.7391
1.2000,0.0000,91.9986
1.2167,0.0000,94.2866
1.2333,0.0000,97.0455
1.2500,0.0000,96.8200
1.2667,0.0000,96.4686
1.2833,0.0000,96.1695
1.3000,0.0000,95.2334
1.3167,0.0000,94.5864
1.3333,0.0000,99.3485
1.3500,0.0000,95.3135
1.3667,0.0000,95.7560
1.3833,0.0000,96.6986
1.4000,0.0000,96.6001
1.4167,0.0000,95.0987
1.4333,0.0000,94.5545
1.4500,0.0000,97.2231
1.4667,0.0000,99.5122
1.4833,0.0000,96.5047
1.5000,-0.0006,96.5297
1.5167,-0.0367,94.2048
1.5333,-0.1108,92.4221
1.5500,-0.2165,97.3425
1.5667,-0.3511,98.9503
1.5833,-0.4926,98.1802
1.6000,-0.5800,97.4182
1.6167,-0.5821,94.8570
1.6333,-0.4967,97.4098
1.6500,-0.3572,98.5067
1.6667,-0.2212,94.6769
1.6833,-0.1150,99.3991
1.7000,-0.0524,98.0895
1.7167,-0.0476,96.4841
1.7333,-0.1040,96.6510
1.7500,-0.2360,96.9129
1.7667,-0.4411,96.3479
1.7833,-0.6830,95.8041
1.8000,-0.9045,101.5054
1.8167,-1.0223,101.0013
1.8333,-0.9641,96.4189
1.8500,-0.7388,98.5306
1.8667,-0.4168,101.0337
1.8833,-0.1395,103.9223
1.9000,-0.0007,100.8057
1.9167,-0.1060,98.9653
1.9333,-0.4434,99.9844
1.9500,-0.8747,99.3163
1.9667,-1.2498,98.1323
1.9833,-1.4175,100.6515
2.0000,-1.3168,102.0368
2.0167,-0.9761,99.1457
