ClusterID,Channel,UnitType,UnitArea
1,3,mua,Undefined
2,1,good,Undefined
4,5,mua,Undefined
5,8,mua,Undefined
6,9,mua,Undefined
7,187,mua,HCX
8,186,mua,HCX
9,16,mua,Undefined
10,14,mua,Undefined
11,245,mua,HCX
12,13,mua,Undefined
13,18,mua,Undefined
14,186,mua,HCX
15,355,mua,VCX
16,254,mua,HCX
17,23,good,TH
18,309,mua,VCX
19,245,mua,HCX
20,23,mua,TH
23,26,mua,TH
24,28,mua,TH
26,30,good,TH
27,32,mua,TH
30,34,mua,TH
31,35,mua,TH
34,38,good,TH
35,185,mua,HCX
36,42,good,TH
38,48,good,TH
39,50,mua,TH
40,46,mua,TH
41,48,mua,TH
42,245,mua,HCX
44,52,good,TH
45,52,mua,TH
46,50,good,TH
47,52,good,TH
48,52,good,TH
49,49,good,TH
51,56,mua,TH
52,53,good,TH
53,56,mua,TH
54,186,mua,HCX
55,55,mua,TH
56,54,good,TH
57,55,good,TH
59,58,mua,TH
60,57,good,TH
61,59,good,TH
62,58,good,TH
64,62,good,TH
65,63,mua,TH
68,66,good,TH
69,67,good,TH
70,68,mua,TH
72,67,good,TH
73,67,good,TH
74,66,good,TH
75,67,good,TH
77,69,good,TH
78,72,mua,TH
79,70,good,TH
80,71,mua,TH
81,72,mua,TH
82,69,mua,TH
83,71,mua,TH
84,70,good,TH
88,76,good,TH
90,74,good,TH
91,76,good,TH
92,75,good,TH
93,73,good,TH
96,76,good,TH
99,73,good,TH
100,79,good,TH
102,79,mua,TH
104,80,mua,TH
106,77,good,TH
107,79,good,TH
109,84,mua,Undefined
110,83,mua,Undefined
111,83,mua,Undefined
113,88,good,Undefined
114,88,good,Undefined
115,88,good,Undefined
116,88,good,Undefined
117,85,mua,Undefined
118,90,mua,Undefined
120,328,mua,VCX
121,92,mua,Undefined
122,185,mua,HCX
123,92,mua,Undefined
124,94,mua,Undefined
125,96,mua,Undefined
126,94,mua,Undefined
127,95,mua,Undefined
128,98,mua,Undefined
129,98,mua,Undefined
130,99,mua,Undefined
131,99,good,Undefined
132,101,mua,Undefined
133,103,good,Undefined
134,104,good,Undefined
135,103,good,Undefined
137,109,mua,Undefined
139,112,good,Undefined
142,114,good,Undefined
143,115,good,Undefined
144,114,good,Undefined
145,114,good,Undefined
147,116,good,Undefined
148,115,mua,Undefined
149,118,mua,Undefined
152,119,good,Undefined
153,122,mua,Undefined
156,127,good,Undefined
157,128,mua,Undefined
159,129,mua,Undefined
160,130,mua,Undefined
161,136,mua,Undefined
162,247,good,HCX
163,133,mua,Undefined
164,138,mua,Undefined
165,140,good,Undefined
166,142,mua,Undefined
167,146,good,Undefined
168,144,mua,Undefined
169,143,good,Undefined
170,143,good,Undefined
171,145,mua,Undefined
173,146,good,Undefined
175,147,good,Undefined
176,146,mua,Undefined
177,150,mua,Undefined
178,152,mua,Undefined
179,245,good,HCX
181,151,good,Undefined
183,153,good,Undefined
184,155,mua,Undefined
185,155,good,Undefined
186,157,mua,Undefined
187,245,mua,HCX
188,159,good,Undefined
189,159,good,Undefined
193,163,good,Undefined
194,161,good,Undefined
195,167,mua,Undefined
197,155,good,Undefined
199,166,mua,Undefined
200,166,good,Undefined
201,165,mua,Undefined
202,165,good,Undefined
203,183,mua,HCX
206,172,mua,HCX
207,171,good,HCX
208,176,mua,HCX
209,175,mua,HCX
210,184,good,HCX
211,176,mua,HCX
212,176,good,HCX
213,175,good,HCX
214,174,good,HCX
215,175,good,HCX
216,177,mua,HCX
217,178,mua,HCX
218,179,good,HCX
220,186,mua,HCX
221,186,mua,HCX
223,184,mua,HCX
225,186,mua,HCX
235,183,good,HCX
236,183,mua,HCX
237,183,good,HCX
238,182,good,HCX
239,184,good,HCX
242,186,good,HCX
245,185,mua,HCX
247,187,good,HCX
248,186,mua,HCX
260,183,mua,HCX
267,185,mua,HCX
269,186,mua,HCX
270,186,good,HCX
274,185,good,HCX
277,188,mua,HCX
278,190,mua,HCX
279,191,good,HCX
284,190,good,HCX
286,189,mua,HCX
289,186,mua,HCX
290,194,mua,HCX
291,195,good,HCX
292,193,mua,HCX
293,187,mua,HCX
294,197,mua,HCX
295,197,good,HCX
296,189,mua,HCX
297,201,mua,HCX
298,187,mua,HCX
299,202,mua,HCX
300,186,mua,HCX
301,205,good,HCX
302,206,good,HCX
303,208,good,HCX
304,209,mua,HCX
305,210,good,HCX
306,210,good,HCX
307,189,mua,HCX
308,215,mua,HCX
309,213,good,HCX
310,214,mua,HCX
311,214,mua,HCX
312,219,mua,HCX
313,216,mua,HCX
314,220,mua,HCX
315,223,good,HCX
316,221,good,HCX
317,226,good,HCX
318,225,good,HCX
319,225,good,HCX
320,224,good,HCX
321,225,good,HCX
322,227,good,HCX
323,225,mua,HCX
325,227,good,HCX
327,232,good,HCX
328,233,good,HCX
329,235,good,HCX
330,231,mua,HCX
337,239,good,HCX
340,239,good,HCX
341,237,mua,HCX
343,242,good,HCX
344,245,mua,HCX
346,241,good,HCX
348,245,good,HCX
353,242,mua,HCX
358,246,mua,HCX
360,245,good,HCX
366,245,good,HCX
371,249,mua,HCX
372,249,good,HCX
380,248,good,HCX
382,250,good,HCX
386,254,mua,HCX
387,254,good,HCX
390,254,good,HCX
391,252,good,HCX
393,258,mua,HCX
394,259,mua,HCX
395,254,mua,HCX
396,261,mua,HCX
397,260,good,HCX
398,260,mua,HCX
399,267,good,HCX
400,265,good,HCX
401,264,good,HCX
402,264,mua,HCX
403,266,good,HCX
404,267,good,HCX
405,266,good,HCX
406,186,good,HCX
407,264,mua,HCX
409,268,mua,HCX
410,271,good,Undefined
412,268,mua,HCX
413,270,good,HCX
419,276,good,Undefined
423,278,good,Undefined
424,277,good,Undefined
425,282,good,VCX
426,283,mua,VCX
427,282,good,VCX
428,283,good,VCX
429,281,good,VCX
430,283,good,VCX
431,281,good,VCX
432,284,good,VCX
433,285,good,VCX
434,287,good,VCX
435,287,good,VCX
436,287,good,VCX
439,289,good,VCX
440,291,good,VCX
443,290,good,VCX
445,289,good,VCX
446,289,good,VCX
447,286,good,VCX
449,290,good,VCX
450,289,mua,VCX
451,295,mua,VCX
452,293,mua,VCX
454,293,good,VCX
455,292,good,VCX
456,292,good,VCX
457,290,good,VCX
462,294,mua,VCX
464,295,good,VCX
467,298,good,VCX
468,299,mua,VCX
471,296,mua,VCX
472,298,good,VCX
473,297,good,VCX
474,303,good,VCX
476,301,mua,VCX
477,301,good,VCX
478,301,good,VCX
480,301,good,VCX
481,307,mua,VCX
483,305,good,VCX
485,309,good,VCX
486,310,good,VCX
487,310,good,VCX
488,311,mua,VCX
489,309,good,VCX
490,310,mua,VCX
492,308,mua,VCX
493,309,mua,VCX
494,315,mua,VCX
495,315,good,VCX
496,313,good,VCX
497,318,good,VCX
498,317,good,VCX
499,317,good,VCX
500,318,good,VCX
502,317,good,VCX
503,318,good,VCX
506,321,mua,VCX
507,321,mua,VCX
508,325,mua,VCX
509,323,good,VCX
510,321,mua,VCX
513,321,good,VCX
515,322,mua,VCX
520,325,good,VCX
521,325,good,VCX
522,326,mua,VCX
523,324,mua,VCX
524,327,good,VCX
525,326,good,VCX
526,324,good,VCX
528,324,good,VCX
531,333,good,VCX
534,329,mua,VCX
541,334,good,VCX
542,334,mua,VCX
545,335,good,VCX
547,337,good,VCX
548,333,good,VCX
551,326,good,VCX
552,334,good,VCX
553,332,mua,VCX
554,333,good,VCX
556,338,good,VCX
557,339,mua,VCX
558,337,mua,VCX
559,341,mua,VCX
560,342,mua,VCX
561,342,mua,VCX
563,341,good,VCX
564,341,mua,VCX
565,341,mua,VCX
567,346,mua,VCX
568,347,mua,VCX
569,345,mua,VCX
570,347,mua,VCX
573,350,good,VCX
574,350,good,VCX
575,350,good,VCX
576,350,mua,VCX
578,349,good,VCX
579,349,mua,VCX
580,350,mua,VCX
583,353,mua,VCX
584,354,mua,VCX
585,356,mua,VCX
587,357,mua,VCX
590,357,mua,VCX
591,359,mua,VCX
592,361,mua,VCX
593,363,mua,VCX
594,361,mua,VCX
599,367,mua,VCX
600,364,mua,VCX
603,368,mua,VCX
604,5,good,Undefined
605,22,good,TH
606,27,mua,TH
607,34,good,TH
608,42,good,TH
609,51,good,TH
610,60,mua,TH
611,58,good,TH
612,71,mua,TH
613,71,good,TH
614,74,mua,TH
615,76,good,TH
616,75,good,TH
617,80,mua,TH
