TimeStamp,Speed,EyeArea
0.0000,NaN,NaN
0.0167,0.0000,105.1744
0.0333,0.0000,105.0507
0.0500,0.0000,102.8718
0.0667,0.0000,100.5570
0.0833,0.0000,101.7603
0.1000,0.0000,103.2290
0.1167,0.0000,104.0567
0.1333,0.0000,104.8299
0.1500,0.0000,106.5551
0.1667,0.0000,108.3462
0.1833,0.0000,110.8328
0.2000,0.0000,113.3691
0.2167,0.0000,110.5039
0.2333,0.0000,107.1724
0.2500,0.0000,108.6934
0.2667,0.0000,110.5364
0.2833,0.0000,112.5182
0.3000,0.0000,114.5116
0.3167,0.0000,114.5284
0.3333,0.0000,114.4173
0.3500,0.0000,114.5390
0.3667,0.0000,114.6726
0.3833,0.0000,115.8415
0.4000,0.0000,117.0757
0.4167,0.0000,114.4386
0.4333,0.0000,111.5557
0.4500,-0.0083,108.0389
0.4667,-0.0171,104.4855
0.4833,-0.0359,107.6468
0.5000,-0.0552,111.2291
0.5167,-0.0816,111.6887
0.5333,-0.1082,111.9885
0.5500,-0.1433,115.2922
0.5667,-0.1787,118.7207
0.5833,-0.2143,119.2516
0.6000,-0.2500,119.6703
0.6167,-0.2729,117.9019
0.6333,-0.2955,116.0783
0.6500,-0.2962,115.3589
0.6667,-0.2962,114.6758
0.6833,-0.2740,114.6523
0.7000,-0.2514,114.6365
0.7167,-0.2163,115.6585
0.7333,-0.1808,116.7047
0.7500,-0.1454,116.5746
0.7667,-0.1100,116.4165
0.7833,-0.0918,117.4335
0.8000,-0.0740,118.4751
0.8167,-0.0771,120.2139
0.8333,-0.0805,121.9589
0.8500,-0.0979,123.8694
0.8667,-0.1157,125.7833
0.8833,-0.1475,127.4191
0.9000,-0.1796,129.0511
0.9167,-0.2151,126.8625
0.9333,-0.2506,124.6594
0.9500,-0.2731,122.5197
0.9667,-0.2956,120.3800
0.9833,-0.2958,125.3464
1.0000,-0.2958,130.3684
1.0167,-0.2731,129.6750
1.0333,-0.2500,128.9843
1.0500,-0.2147,131.5589
1.0667,-0.1794,134.1005
1.0833,-0.1442,132.8457
1.1000,-0.1090,131.5998
1.1167,-0.0912,131.8384
1.1333,-0.0739,132.0353
1.1500,-0.0774,130.3479
1.1667,-0.0811,128.6729
1.1833,-0.0992,128.0154
1.2000,-0.1179,127.4265
1.2167,-0.1499,128.5551
1.2333,-0.1821,129.6713
1.2500,-0.2176,130.4399
1.2667,-0.2528,131.1744
1.2833,-0.2756,130.6356
1.3000,-0.2977,130.0810
1.3167,-0.2977,128.9896
1.3333,-0.2970,127.9073
1.3500,-0.2832,126.9806
1.3667,-0.2693,126.1118
1.3833,-0.2530,126.5257
1.4000,-0.2372,126.9953
1.4167,-0.2285,128.4197
1.4333,-0.2208,129.7044
1.4500,-0.2298,128.3387
1.4667,-0.2393,127.0643
1.4833,-0.2591,127.7626
1.5000,-0.2788,128.4849
1.5167,-0.2929,129.7488
1.5333,-0.3066,130.9413
1.5500,-0.3119,130.9402
1.5667,-0.3168,130.8964
1.5833,-0.3131,130.1009
1.6000,-0.3090,129.0086
1.6167,-0.2997,123.7435
1.6333,-0.2908,118.8460
1.6500,-0.2902,121.0658
1.6667,-0.2904,123.1404
1.6833,-0.2988,123.3562
1.7000,-0.3072,123.4963
1.7167,-0.3137,122.5895
1.7333,-0.3193,121.7308
1.7500,-0.3102,121.7403
1.7667,-0.2995,121.9048
1.7833,-0.2735,123.5451
1.8000,-0.2467,125.1473
1.8167,-0.2116,126.3818
1.8333,-0.1756,127.4758
1.8500,-0.1277,126.8728
1.8667,-0.0794,126.3272
1.8833,-0.0270,126.3260
1.9000,0.0255,126.6302
1.9167,0.0786,131.1709
1.9333,0.1321,135.0726
1.9500,0.1910,131.8392
1.9667,0.2490,128.4922
1.9833,0.3008,124.2887
2.0000,0.3509,120.1780
2.0167,0.3824,117.0343
2.0333,0.4102,114.2544
2.0500,0.4013,114.9515
2.0667,0.3887,115.5867
2.0833,0.3377,115.6003
2.1000,0.2842,115.5436
2.1167,0.2084,114.8591
2.1333,0.1316,114.6013
2.1500,0.0464,118.1334
2.1667,-0.0373,121.2554
2.1833,-0.1100,121.3443
2.2000,-0.1791,121.4969
2.2167,-0.2238,122.0776
2.2333,-0.2654,122.5689
2.2500,-0.2866,122.4351
