ClusterID,Channel,UnitType,UnitArea
0,6,mua,Undefined
2,1,good,Undefined
3,3,good,Undefined
4,3,good,Undefined
5,4,good,Undefined
6,2,good,Undefined
7,7,good,Undefined
8,5,good,Undefined
9,7,good,Undefined
10,8,good,Undefined
11,8,mua,Undefined
12,6,good,Undefined
13,7,good,Undefined
14,8,good,Undefined
15,7,good,Undefined
16,6,good,Undefined
17,6,good,Undefined
18,12,mua,Undefined
19,9,good,Undefined
20,9,good,Undefined
21,12,good,Undefined
23,366,good,VCX
24,10,good,Undefined
25,12,good,Undefined
26,10,good,Undefined
27,10,mua,Undefined
28,10,good,Undefined
29,11,good,Undefined
30,15,good,Undefined
31,13,good,Undefined
33,14,good,Undefined
35,16,mua,Undefined
36,13,good,Undefined
37,18,good,Undefined
38,14,mua,Undefined
39,15,mua,Undefined
40,14,good,Undefined
42,18,good,Undefined
43,14,good,Undefined
45,18,good,Undefined
46,20,good,Undefined
47,20,good,Undefined
48,20,good,Undefined
49,20,mua,Undefined
51,15,good,Undefined
52,18,mua,Undefined
53,18,good,Undefined
54,15,mua,Undefined
55,19,good,Undefined
57,23,mua,Undefined
58,23,good,Undefined
59,24,mua,Undefined
60,24,good,Undefined
61,366,mua,VCX
62,25,mua,Undefined
63,21,mua,Undefined
65,23,mua,Undefined
66,24,good,Undefined
69,25,good,Undefined
70,25,mua,Undefined
71,25,mua,Undefined
72,24,mua,Undefined
74,27,good,Undefined
75,27,good,Undefined
76,26,mua,Undefined
77,28,good,Undefined
78,25,good,Undefined
79,29,good,Undefined
80,25,good,Undefined
81,26,good,Undefined
83,32,mua,TH
84,32,mua,TH
85,31,good,TH
86,30,good,Undefined
87,31,good,TH
88,29,mua,Undefined
89,31,good,TH
90,31,good,TH
91,32,good,TH
93,30,mua,Undefined
95,30,good,Undefined
96,29,good,Undefined
98,34,mua,TH
99,35,mua,TH
100,35,mua,TH
101,34,good,TH
102,34,good,TH
103,36,good,TH
104,33,good,TH
105,36,good,TH
108,35,good,TH
110,39,mua,TH
111,37,mua,TH
117,38,good,TH
119,43,good,TH
120,44,mua,TH
122,41,good,TH
123,43,mua,TH
124,44,mua,TH
125,44,good,TH
130,43,good,TH
131,43,good,TH
132,42,good,TH
133,48,mua,TH
134,46,good,TH
135,43,mua,TH
136,48,good,TH
137,48,mua,TH
138,45,good,TH
139,48,mua,TH
141,46,good,TH
142,45,good,TH
143,45,good,TH
146,53,good,TH
147,51,good,TH
148,49,mua,TH
149,49,mua,TH
150,49,good,TH
151,54,good,TH
152,50,good,TH
153,54,good,TH
154,51,good,TH
155,54,good,TH
156,55,mua,TH
157,54,good,TH
159,55,good,TH
163,367,good,VCX
164,58,good,TH
166,58,good,TH
168,54,mua,TH
169,55,mua,TH
170,58,mua,TH
171,55,good,TH
173,295,mua,VCX
174,62,good,TH
175,64,good,TH
177,62,good,TH
178,59,mua,TH
180,63,good,TH
181,68,good,TH
182,66,good,TH
183,67,mua,TH
184,65,good,TH
185,67,good,TH
187,65,good,TH
188,366,good,VCX
189,69,good,TH
193,72,good,TH
194,71,good,TH
195,69,good,TH
197,69,good,TH
198,71,good,TH
199,70,good,TH
200,71,good,TH
201,366,good,VCX
202,75,good,TH
203,75,good,TH
205,75,good,TH
207,75,mua,TH
208,366,good,VCX
210,74,good,TH
211,74,good,TH
212,78,good,TH
213,79,good,TH
215,367,good,VCX
216,78,good,TH
217,81,good,TH
219,78,good,TH
220,79,mua,TH
