ClusterID,Channel,UnitType,UnitArea
0,3,good,TH
1,4,good,TH
3,2,good,TH
4,3,mua,TH
5,1,mua,TH
6,4,good,TH
7,3,good,TH
8,1,mua,TH
9,7,mua,TH
10,8,good,TH
12,9,mua,TH
13,12,good,TH
15,12,good,TH
16,12,good,TH
17,11,good,TH
18,9,good,TH
19,10,good,TH
21,11,good,TH
22,15,good,TH
23,14,good,TH
24,13,good,TH
25,17,good,TH
26,14,good,TH
28,17,mua,TH
29,19,good,TH
30,17,good,TH
31,18,good,TH
32,19,good,TH
33,17,good,TH
34,19,good,TH
36,17,good,TH
37,20,good,TH
38,18,good,TH
39,20,good,TH
40,24,good,TH
41,21,good,TH
42,23,good,TH
43,23,good,TH
44,23,mua,TH
45,27,good,TH
46,28,good,TH
49,27,good,TH
50,27,good,TH
51,29,good,TH
52,35,good,TH
53,31,good,TH
54,31,mua,TH
55,31,good,TH
56,29,good,TH
57,32,good,TH
58,29,mua,TH
59,32,good,TH
60,29,good,TH
61,33,good,TH
62,35,good,TH
63,36,mua,TH
64,33,mua,TH
65,36,good,TH
68,38,good,TH
69,37,good,TH
70,37,good,TH
71,37,good,TH
72,38,good,TH
74,45,mua,TH
75,41,good,TH
76,44,good,TH
77,44,mua,TH
78,42,good,TH
80,41,good,TH
82,42,good,TH
83,44,good,TH
85,48,good,TH
86,48,mua,TH
88,45,good,TH
89,48,good,TH
90,45,good,TH
91,46,mua,TH
92,47,good,TH
93,48,good,TH
96,46,good,TH
97,53,mua,TH
98,51,good,TH
99,51,mua,TH
100,51,good,TH
102,49,good,TH
103,49,good,TH
104,56,good,TH
105,50,mua,TH
106,52,good,TH
107,56,mua,TH
108,50,good,TH
109,52,good,TH
111,52,good,TH
113,52,good,TH
114,50,good,TH
115,49,good,TH
116,54,good,TH
118,55,good,TH
119,57,mua,TH
120,56,mua,TH
121,55,good,TH
122,53,good,TH
124,53,good,TH
125,54,good,TH
126,53,good,TH
127,56,good,TH
128,57,good,TH
129,58,good,TH
130,58,good,TH
131,57,good,TH
132,58,good,TH
133,59,good,TH
134,57,good,TH
