TimeStamp,Speed,EyeArea
0.0000,18.8148,242.0573
0.0167,18.3966,239.9666
0.0333,18.0095,239.9059
0.0500,17.5079,241.6290
0.0667,17.0945,244.0915
0.0833,16.4771,247.0049
0.1000,16.0156,243.2090
0.1167,15.6609,242.2517
0.1333,15.5487,239.9420
0.1500,15.7610,240.7685
0.1667,16.1451,240.2888
0.1833,16.9085,242.5926
0.2000,17.6511,245.4235
0.2167,18.3780,242.3400
0.2333,18.7612,241.1746
0.2500,18.7494,240.2805
0.2667,18.3332,240.2556
0.2833,17.5591,238.9942
0.3000,16.7315,236.8482
0.3167,15.8265,235.1816
0.3333,15.1065,236.7531
0.3500,14.4128,233.0246
0.3667,13.9641,233.7291
0.3833,13.6097,239.6702
0.4000,13.3854,238.2520
0.4167,13.2404,241.0080
0.4333,13.2142,239.1680
0.4500,13.2570,238.7732
0.4667,13.3133,238.7920
0.4833,13.3761,242.2012
0.5000,13.4582,237.4030
0.5167,13.6209,241.5576
0.5333,13.8815,246.0377
0.5500,14.3206,245.2108
0.5667,14.8103,240.7845
0.5833,15.2988,232.6321
0.6000,15.7822,240.4056
0.6167,16.1506,241.1489
0.6333,16.5317,237.8482
0.6500,16.7423,236.9907
0.6667,16.7404,236.3126
0.6833,16.4437,239.2892
0.7000,15.7169,233.6169
0.7167,14.8286,235.6328
0.7333,13.8285,235.6416
0.7500,12.9342,234.0377
0.7667,12.1898,230.7260
0.7833,11.7842,234.9109
0.8000,11.4197,231.4643
0.8167,11.2694,234.8913
0.8333,11.2223,235.4203
0.8500,11.2724,236.5826
0.8667,11.4096,239.0656
0.8833,11.6166,238.5456
0.9000,11.9085,238.1267
0.9167,12.2228,236.1160
0.9333,12.5774,236.7175
0.9500,12.9698,242.4892
0.9667,13.4543,239.7863
0.9833,14.1294,238.5479
1.0000,14.9303,234.3701
1.0167,15.6881,235.2860
1.0333,16.3879,233.2917
1.0500,16.8931,233.2358
1.0667,17.2490,234.8902
1.0833,17.4797,233.2221
1.1000,17.6964,233.0672
1.1167,17.8920,228.3220
1.1333,18.0120,229.9276
1.1500,18.0095,228.6717
1.1667,17.9161,231.6731
1.1833,17.7189,231.9331
1.2000,17.4738,230.1409
1.2167,17.1427,230.6679
1.2333,16.7965,230.9109
1.2500,16.4794,232.0910
1.2667,16.2135,231.6037
1.2833,16.0629,228.8706
1.3000,16.1242,231.1668
1.3167,16.4385,230.9695
1.3333,16.9384,229.4320
1.3500,17.6618,230.4168
1.3667,18.3400,233.3378
1.3833,18.8521,233.1071
1.4000,19.2233,227.7752
1.4167,19.3690,229.0441
1.4333,19.3402,230.3316
1.4500,19.2054,228.9633
1.4667,18.9722,228.3301
1.4833,18.6644,229.0791
1.5000,18.2487,229.7225
1.5167,17.7404,229.6148
1.5333,17.1975,229.7801
1.5500,16.6145,229.0835
1.5667,16.0382,228.5157
1.5833,15.4699,230.7242
1.6000,15.0220,226.7416
1.6167,14.7450,225.9843
1.6333,14.7414,228.3441
1.6500,14.9962,227.8925
1.6667,15.4677,228.5889
1.6833,16.0397,230.0193
1.7000,16.5616,225.9954
1.7167,16.8562,224.6981
1.7333,16.8187,225.9303
1.7500,16.5080,225.9137
1.7667,16.0602,227.0121
1.7833,15.5940,227.2425
1.8000,15.2070,230.7859
