ClusterID,Channel,UnitType,UnitArea
0,2,good,Undefined
2,4,good,Undefined
4,362,mua,VCX
5,363,mua,VCX
6,3,mua,Undefined
7,1,mua,Undefined
8,4,mua,Undefined
9,3,good,Undefined
12,3,good,Undefined
19,7,mua,Undefined
21,362,mua,VCX
24,5,good,Undefined
25,8,good,Undefined
26,5,good,Undefined
28,5,good,Undefined
29,8,mua,Undefined
30,9,good,Undefined
31,7,mua,Undefined
32,11,mua,Undefined
34,12,good,Undefined
35,8,mua,Undefined
36,12,mua,Undefined
37,362,mua,VCX
38,12,good,Undefined
39,9,mua,Undefined
40,358,mua,VCX
43,9,good,Undefined
45,15,good,Undefined
48,16,good,Undefined
49,13,good,Undefined
52,13,good,Undefined
57,16,good,Undefined
59,20,good,Undefined
61,19,good,Undefined
64,20,mua,Undefined
65,20,good,Undefined
66,18,mua,Undefined
68,361,mua,VCX
69,16,good,Undefined
70,17,mua,Undefined
72,19,good,Undefined
74,17,good,Undefined
76,22,mua,Undefined
79,24,good,Undefined
80,21,good,Undefined
84,362,mua,VCX
88,22,mua,Undefined
92,26,good,Undefined
93,25,good,Undefined
95,359,mua,VCX
97,362,mua,VCX
98,28,mua,Undefined
100,26,good,Undefined
101,21,good,Undefined
102,362,mua,VCX
103,363,mua,VCX
104,26,good,Undefined
106,344,mua,VCX
108,25,mua,Undefined
109,28,mua,Undefined
110,25,mua,Undefined
112,25,mua,Undefined
113,26,good,Undefined
115,36,good,Undefined
116,32,mua,Undefined
118,31,good,Undefined
119,30,good,Undefined
120,29,good,Undefined
121,360,mua,VCX
123,40,mua,Undefined
126,29,good,Undefined
129,29,good,Undefined
130,31,good,Undefined
131,36,good,Undefined
132,35,good,Undefined
133,34,good,Undefined
134,344,mua,VCX
135,88,good,TH
136,242,mua,HCX
137,313,mua,VCX
140,362,mua,VCX
141,36,mua,Undefined
143,37,mua,Undefined
144,358,mua,VCX
146,35,mua,Undefined
149,36,good,Undefined
150,33,good,Undefined
156,39,mua,Undefined
157,37,good,Undefined
158,288,mua,VCX
160,354,mua,VCX
162,39,mua,Undefined
163,39,mua,Undefined
170,43,mua,Undefined
174,348,mua,VCX
176,44,mua,Undefined
177,363,good,VCX
179,44,good,Undefined
180,362,mua,VCX
188,41,good,Undefined
192,43,good,Undefined
193,45,mua,Undefined
194,48,good,Undefined
196,48,good,Undefined
198,47,good,Undefined
200,360,mua,VCX
201,350,mua,VCX
202,47,good,Undefined
203,350,mua,VCX
204,45,good,Undefined
205,49,mua,Undefined
206,48,mua,Undefined
207,358,mua,VCX
211,45,good,Undefined
212,45,good,Undefined
213,46,good,Undefined
215,362,mua,VCX
217,51,good,TH
218,9,mua,Undefined
221,52,good,TH
222,358,good,VCX
229,53,good,TH
234,56,good,TH
239,57,mua,TH
241,58,good,TH
243,21,mua,Undefined
244,65,mua,TH
245,57,good,TH
246,362,mua,VCX
247,77,mua,TH
248,362,mua,VCX
249,361,mua,VCX
250,362,mua,VCX
251,60,mua,TH
254,301,mua,VCX
255,58,good,TH
256,60,good,TH
258,57,good,TH
259,340,mua,VCX
260,63,good,TH
262,61,good,TH
263,362,mua,VCX
265,359,mua,VCX
266,331,mua,VCX
267,64,good,TH
270,64,mua,TH
271,61,good,TH
275,360,mua,VCX
276,361,mua,VCX
277,68,good,TH
278,12,mua,Undefined
279,284,mua,VCX
281,69,mua,TH
282,65,good,TH
283,357,mua,VCX
285,362,mua,VCX
287,65,mua,TH
288,67,mua,TH
289,61,mua,TH
290,331,mua,VCX
292,358,mua,VCX
294,65,good,TH
295,360,good,VCX
296,72,mua,TH
297,72,good,TH
298,362,mua,VCX
299,70,good,TH
301,362,mua,VCX
303,2,mua,Undefined
305,69,mua,TH
306,362,mua,VCX
308,362,mua,VCX
309,301,mua,VCX
310,362,mua,VCX
311,69,mua,TH
312,361,good,VCX
314,69,mua,TH
315,72,mua,TH
317,69,good,TH
320,78,good,TH
321,357,mua,VCX
322,75,mua,TH
323,74,good,TH
324,76,mua,TH
326,76,good,TH
327,298,mua,VCX
328,76,good,TH
330,73,mua,TH
332,296,mua,VCX
334,76,good,TH
336,73,good,TH
337,73,mua,TH
338,75,mua,TH
339,358,mua,VCX
340,350,mua,VCX
341,348,mua,VCX
342,330,mua,VCX
343,360,mua,VCX
344,77,good,TH
345,344,mua,VCX
346,77,mua,TH
348,80,mua,TH
349,305,mua,VCX
350,77,good,TH
351,320,mua,VCX
352,5,mua,Undefined
353,362,mua,VCX
356,80,mua,TH
357,78,good,TH
358,359,mua,VCX
360,80,good,TH
362,80,mua,TH
366,81,good,TH
367,83,good,TH
369,83,good,TH
370,78,mua,TH
374,358,mua,VCX
375,337,mua,VCX
376,86,mua,TH
379,80,mua,TH
380,82,good,TH
381,82,good,TH
382,85,good,TH
383,86,mua,TH
384,77,mua,TH
385,39,mua,Undefined
387,362,mua,VCX
388,87,good,TH
389,88,good,TH
390,85,good,TH
391,4,mua,Undefined
396,91,good,TH
398,89,mua,TH
399,92,good,TH
400,90,good,TH
402,94,good,TH
403,363,mua,VCX
406,363,mua,VCX
407,305,mua,VCX
408,5,mua,Undefined
410,100,mua,TH
413,98,good,TH
414,93,good,TH
416,102,good,TH
417,100,mua,TH
423,97,good,TH
426,362,mua,VCX
428,338,mua,VCX
430,104,good,TH
431,10,mua,Undefined
435,104,good,TH
436,101,good,TH
440,108,good,TH
442,362,mua,VCX
444,101,mua,TH
445,105,good,TH
446,330,mua,VCX
447,102,mua,TH
448,101,mua,TH
449,363,mua,VCX
452,358,mua,VCX
453,107,good,TH
458,105,good,TH
459,109,good,TH
461,109,good,TH
464,90,mua,TH
465,109,mua,TH
466,111,mua,TH
468,112,good,TH
471,113,mua,TH
476,116,good,TH
479,114,good,TH
480,41,mua,Undefined
481,113,good,TH
488,113,good,TH
489,119,good,TH
492,120,good,TH
497,120,good,TH
504,123,mua,TH
506,363,mua,VCX
507,121,good,TH
509,121,good,TH
514,121,mua,TH
515,362,mua,VCX
517,356,mua,VCX
518,360,mua,VCX
519,362,mua,VCX
520,133,mua,TH
521,339,mua,VCX
522,360,mua,VCX
523,362,good,VCX
524,135,mua,Undefined
525,362,mua,VCX
526,362,mua,VCX
527,362,mua,VCX
528,296,mua,VCX
529,111,mua,TH
530,363,mua,VCX
531,360,mua,VCX
532,135,mua,Undefined
533,362,mua,VCX
534,362,mua,VCX
535,111,mua,TH
536,363,mua,VCX
537,362,mua,VCX
538,327,mua,VCX
539,4,mua,Undefined
540,362,mua,VCX
542,140,good,Undefined
543,144,good,HCX
544,362,mua,VCX
545,144,mua,HCX
546,362,mua,VCX
547,147,mua,HCX
548,362,mua,VCX
549,362,mua,VCX
550,350,mua,VCX
551,362,mua,VCX
552,363,mua,VCX
553,362,mua,VCX
554,346,mua,VCX
555,362,mua,VCX
556,146,mua,HCX
557,145,good,HCX
558,148,good,HCX
559,148,mua,HCX
560,150,mua,HCX
561,362,mua,VCX
562,335,mua,VCX
563,166,mua,HCX
564,362,mua,VCX
565,149,mua,HCX
566,362,mua,VCX
567,151,mua,HCX
568,152,mua,HCX
569,152,mua,HCX
570,350,mua,VCX
571,149,mua,HCX
572,362,mua,VCX
575,363,mua,VCX
576,362,mua,VCX
577,150,mua,HCX
578,152,good,HCX
579,301,mua,VCX
580,301,mua,VCX
581,350,mua,VCX
584,156,mua,HCX
585,362,mua,VCX
586,327,mua,VCX
587,362,mua,VCX
588,362,mua,VCX
589,272,mua,HCX
590,359,mua,VCX
592,362,mua,VCX
593,295,mua,VCX
595,362,mua,VCX
596,363,mua,VCX
597,362,mua,VCX
598,153,mua,HCX
602,160,mua,HCX
603,168,mua,HCX
605,5,mua,Undefined
606,168,mua,HCX
607,362,mua,VCX
608,354,mua,VCX
609,361,mua,VCX
612,363,mua,VCX
613,344,mua,VCX
615,362,mua,VCX
616,168,mua,HCX
617,153,mua,HCX
618,341,mua,VCX
619,153,mua,HCX
620,164,good,HCX
621,161,good,HCX
622,362,mua,VCX
624,169,good,HCX
625,167,mua,HCX
626,168,mua,HCX
628,168,mua,HCX
629,164,mua,HCX
630,168,mua,HCX
632,168,mua,HCX
633,167,mua,HCX
634,168,mua,HCX
635,324,mua,VCX
636,168,good,HCX
637,288,mua,VCX
638,172,mua,HCX
641,172,good,HCX
643,363,mua,VCX
647,362,mua,VCX
648,338,mua,VCX
651,170,mua,HCX
657,169,mua,HCX
658,172,mua,HCX
659,174,mua,HCX
660,362,mua,VCX
661,170,mua,HCX
662,172,mua,HCX
664,171,mua,HCX
666,172,mua,HCX
668,362,mua,VCX
669,328,mua,VCX
670,362,mua,VCX
672,173,mua,HCX
673,363,mua,VCX
674,173,good,HCX
675,362,mua,VCX
676,362,mua,VCX
677,177,mua,HCX
678,362,mua,VCX
679,177,mua,HCX
680,173,good,HCX
681,363,mua,VCX
682,362,mua,VCX
683,140,mua,Undefined
684,362,mua,VCX
685,335,mua,VCX
686,346,mua,VCX
687,363,mua,VCX
688,182,mua,HCX
689,363,mua,VCX
690,363,mua,VCX
691,186,mua,HCX
692,348,mua,VCX
693,362,mua,VCX
694,363,mua,VCX
695,362,mua,VCX
697,362,mua,VCX
698,190,mua,HCX
700,360,mua,VCX
703,192,mua,HCX
704,362,mua,VCX
705,196,mua,HCX
706,358,mua,VCX
709,197,mua,HCX
713,362,mua,VCX
714,348,mua,VCX
715,357,mua,VCX
716,199,mua,HCX
717,358,mua,VCX
718,204,mua,HCX
719,362,mua,VCX
720,287,mua,VCX
721,362,good,VCX
722,362,mua,VCX
723,361,mua,VCX
724,363,mua,VCX
725,362,mua,VCX
726,362,mua,VCX
727,284,mua,VCX
728,320,mua,VCX
729,362,mua,VCX
730,362,mua,VCX
731,362,mua,VCX
732,360,mua,VCX
733,354,mua,VCX
734,355,mua,VCX
735,240,mua,HCX
736,362,mua,VCX
737,340,mua,VCX
739,363,mua,VCX
740,362,mua,VCX
741,206,mua,HCX
742,362,mua,VCX
743,355,mua,VCX
744,233,good,HCX
745,362,mua,VCX
746,245,mua,HCX
748,4,mua,Undefined
749,292,mua,VCX
750,357,mua,VCX
751,362,mua,VCX
752,362,mua,VCX
753,345,mua,VCX
754,358,mua,VCX
755,360,mua,VCX
756,21,mua,Undefined
757,362,mua,VCX
759,332,mua,VCX
760,215,mua,HCX
761,272,mua,HCX
762,212,mua,HCX
763,222,mua,HCX
764,359,mua,VCX
765,357,mua,VCX
766,362,mua,VCX
767,360,mua,VCX
769,283,mua,VCX
770,218,mua,HCX
771,301,mua,VCX
772,363,mua,VCX
773,296,mua,VCX
774,352,mua,VCX
776,358,good,VCX
777,322,mua,VCX
778,223,mua,HCX
779,362,mua,VCX
780,291,mua,VCX
782,350,mua,VCX
783,228,mua,HCX
784,225,good,HCX
788,360,mua,VCX
790,225,mua,HCX
791,326,mua,VCX
792,231,mua,HCX
793,362,mua,VCX
794,258,mua,HCX
796,340,mua,VCX
800,290,mua,VCX
803,350,mua,VCX
804,233,mua,HCX
805,234,mua,HCX
808,350,mua,VCX
809,284,mua,VCX
814,235,mua,HCX
815,362,mua,VCX
816,362,mua,VCX
817,238,mua,HCX
819,328,mua,VCX
820,243,mua,HCX
821,362,mua,VCX
822,359,mua,VCX
827,282,mua,VCX
833,340,mua,VCX
834,237,mua,HCX
835,236,mua,HCX
837,242,mua,HCX
839,362,mua,VCX
841,339,mua,VCX
842,245,mua,HCX
843,248,mua,HCX
844,243,mua,HCX
846,243,mua,HCX
847,8,mua,Undefined
851,361,mua,VCX
852,281,mua,VCX
853,362,mua,VCX
859,281,mua,VCX
860,341,mua,VCX
861,362,mua,VCX
862,240,mua,HCX
863,362,mua,VCX
865,362,mua,VCX
866,2,mua,Undefined
867,332,mua,VCX
869,246,mua,HCX
870,345,mua,VCX
871,353,mua,VCX
872,363,mua,VCX
