TimeStamp,Speed,EyeArea
0.0000,NaN,NaN
0.0167,0.0000,265.6167
0.0333,0.0000,264.2717
0.0500,0.0000,264.8436
0.0667,0.0000,266.5240
0.0833,0.0000,266.1082
0.1000,0.0000,264.4722
0.1167,0.0000,264.5085
0.1333,0.0000,265.8232
0.1500,0.0000,265.0356
0.1667,0.0000,263.5947
0.1833,0.0000,263.3981
0.2000,0.0000,264.0262
0.2167,0.0000,262.9244
0.2333,0.0000,260.2879
0.2500,0.0000,257.4137
0.2667,0.0000,254.2215
0.2833,0.0000,252.0322
0.3000,0.0000,250.7520
0.3167,0.0000,250.7845
0.3333,0.0000,251.8423
0.3500,0.0000,252.4811
0.3667,0.0000,252.7823
0.3833,0.0000,252.9059
0.4000,0.0000,252.8854
0.4167,0.0000,252.9619
0.4333,0.0000,253.1179
0.4500,0.0000,252.4371
0.4667,0.0000,251.0927
0.4833,0.0000,250.7593
0.5000,0.0000,251.2842
0.5167,0.0000,252.5090
0.5333,0.0000,254.2975
0.5500,0.0000,254.9859
0.5667,0.0000,254.7938
0.5833,0.0000,254.8044
0.6000,0.0000,255.0158
0.6167,0.0000,253.6649
0.6333,0.0000,250.8771
0.6500,0.0000,250.4427
0.6667,0.0000,252.0809
0.6833,0.0000,253.3711
0.7000,0.0000,254.3269
0.7167,0.0000,255.3888
0.7333,0.0000,256.4919
0.7500,0.0000,257.9348
0.7667,0.0000,260.1845
0.7833,0.0000,261.2912
0.8000,0.0000,261.4578
0.8167,0.0000,261.7442
0.8333,0.0000,262.1225
0.8500,0.0000,262.6429
0.8667,0.0000,263.2892
0.8833,0.0000,261.0557
0.9000,0.0000,257.6695
0.9167,0.0000,258.1564
0.9333,0.0000,261.5519
0.9500,0.0000,263.3156
0.9667,0.0000,263.3939
0.9833,0.0000,264.4728
1.0000,0.0000,266.7577
1.0167,0.0000,267.4493
1.0333,0.0000,266.3910
1.0500,0.0000,264.9419
1.0667,0.0000,263.1122
1.0833,0.0000,266.0367
1.1000,0.0000,273.4924
1.1167,0.0000,274.7531
1.1333,0.0000,270.8600
1.1500,0.0000,270.6061
1.1667,0.0000,273.5631
1.1833,-0.0037,274.5248
1.2000,-0.0123,272.9365
1.2167,-0.0256,272.7564
1.2333,-0.0437,274.0076
1.2500,-0.0649,273.6050
1.2667,-0.0893,271.5424
1.2833,-0.1179,272.4524
1.3000,-0.1513,276.9311
1.3167,-0.1849,278.6683
1.3333,-0.2184,277.3502
1.3500,-0.2453,276.0798
1.3667,-0.2652,274.8594
1.3833,-0.2782,273.5787
1.4000,-0.2782,272.1853
1.4167,-0.2685,271.4041
1.4333,-0.2472,271.3621
1.4500,-0.2206,270.6596
1.4667,-0.1879,269.1741
1.4833,-0.1546,268.1939
1.5000,-0.1205,267.9027
1.5167,-0.0910,268.2837
1.5333,-0.0665,269.4066
1.5500,-0.0461,269.2240
1.5667,-0.0309,267.3538
1.5833,-0.0191,267.1295
1.6000,-0.0109,268.7270
1.6167,-0.0050,270.3844
1.6333,-0.0018,272.1189
1.6500,0.0000,272.6023
1.6667,0.0000,271.5283
1.6833,0.0000,271.4886
1.7000,0.0000,272.4922
1.7167,0.0000,272.4990
1.7333,0.0000,271.3253
