TimeStamp,Speed,EyeArea
0.0000,NaN,NaN
0.0167,7.3415,466.4733
0.0333,7.2542,460.0805
0.0500,7.2146,465.5565
0.0667,7.1802,472.3128
0.0833,7.1592,468.7944
0.1000,7.1401,463.9001
0.1167,7.1032,457.7540
0.1333,7.0641,451.4576
0.1500,6.9942,449.4599
0.1667,6.9195,448.1279
0.1833,6.8062,455.9488
0.2000,6.6855,465.5362
0.2167,6.5226,463.9091
0.2333,6.3521,460.2420
0.2500,6.1431,460.5202
0.2667,5.9264,461.5759
0.2833,5.6943,464.6788
0.3000,5.4586,468.2644
0.3167,5.2711,463.8431
0.3333,5.0951,457.5077
0.3500,5.0197,462.0557
0.3667,4.9711,469.4935
0.3833,5.0569,472.6298
0.4000,5.1787,474.6142
0.4167,5.4066,473.4885
0.4333,5.6642,471.4955
0.4500,5.9775,471.7745
0.4667,6.3101,472.8440
0.4833,6.6296,475.0078
0.5000,6.9447,477.5264
0.5167,7.1737,478.1948
0.5333,7.3748,478.2663
0.5500,7.4588,481.3046
0.5667,7.4997,485.4322
0.5833,7.4257,487.3471
0.6000,7.3046,488.3546
0.6167,7.0908,487.2727
0.6333,6.8340,485.2212
0.6500,6.5208,484.4260
0.6667,6.1821,484.1991
0.6833,5.8247,485.7386
0.7000,5.4589,488.0651
0.7167,5.1129,488.7064
0.7333,4.7768,488.5215
0.7500,4.5036,485.1755
0.7667,4.2639,480.1527
0.7833,4.1155,478.6823
0.8000,4.0144,479.0508
0.8167,3.9975,479.1070
0.8333,4.0324,478.9709
0.8500,4.1378,478.9209
0.8667,4.2896,478.9273
0.8833,4.4782,480.6274
0.9000,4.6915,483.4684
0.9167,4.9061,481.9367
0.9333,5.1215,477.4420
0.9500,5.3178,478.5476
0.9667,5.5005,483.6196
0.9833,5.6623,483.9525
1.0000,5.8084,480.7337
1.0167,5.9476,477.3173
1.0333,6.0815,473.7457
1.0500,6.2319,468.8559
1.0667,6.3975,462.7608
1.0833,6.5941,459.8266
1.1000,6.8193,459.7894
1.1167,7.0657,459.5999
1.1333,7.3312,459.2732
1.1500,7.6019,458.1513
1.1667,7.8781,456.2055
1.1833,8.1207,454.4292
1.2000,8.3300,452.8213
1.2167,8.4681,449.5336
1.2333,8.5339,444.5388
1.2500,8.5181,441.8743
1.2667,8.4071,441.9220
1.2833,8.2312,443.8222
1.3000,7.9738,448.0523
1.3167,7.6831,450.8524
1.3333,7.3498,451.8267
1.3500,7.0173,451.8033
1.3667,6.6860,450.3889
1.3833,6.3909,448.4706
1.4000,6.1460,445.8568
1.4167,5.9560,446.5933
1.4333,5.8411,451.9079
1.4500,5.7878,452.4169
1.4667,5.8291,445.5625
1.4833,5.9232,444.0956
1.5000,6.1006,451.0963
1.5167,6.3021,453.3980
1.5333,6.5440,447.8180
1.5500,6.7733,446.4244
1.5667,6.9808,452.3825
1.5833,7.1415,455.7515
1.6000,7.2225,454.7102
1.6167,7.2475,452.8128
1.6333,7.1648,449.2701
1.6500,7.0444,447.7453
1.6667,6.8490,450.2329
1.6833,6.6512,454.1541
1.7000,6.4482,461.2199
1.7167,6.2752,463.1167
1.7333,6.1719,453.0024
1.7500,6.1188,447.2325
1.7667,6.1952,452.6689
1.7833,6.3178,457.0767
1.8000,6.5624,458.7710
1.8167,6.8285,458.6167
1.8333,7.1536,453.3745
1.8500,7.4735,448.7710
1.8667,7.7754,446.4085
1.8833,8.0369,443.9717
1.9000,8.1801,441.3169
1.9167,8.2707,440.5292
1.9333,8.1919,445.7615
1.9500,8.0613,450.3214
1.9667,7.7334,452.3138
1.9833,7.3634,452.5137
2.0000,6.8493,446.5536
2.0167,6.3135,442.3832
2.0333,5.6827,446.0790
2.0500,5.0506,449.4229
2.0667,4.4122,451.0674
2.0833,3.7914,451.6056
2.1000,3.2602,446.5345
2.1167,2.7501,442.0119
2.1333,2.3773,441.0585
2.1500,2.0296,440.3698
2.1667,1.8266,441.2147
2.1833,1.6387,441.9604
2.2000,1.5522,442.0356
2.2167,1.4730,442.0419
2.2333,1.4457,441.5517
2.2500,1.4185,441.1885
2.2667,1.3910,441.6827
2.2833,1.3586,443.1624
2.3000,1.2913,451.8230
2.3167,1.2205,459.9225
2.3333,1.1134,462.0014
2.3500,1.0047,464.0511
2.3667,0.8807,465.8009
2.3833,0.7560,466.9613
2.4000,0.6208,457.7623
2.4167,0.4858,449.9085
2.4333,0.3533,459.2629
2.4500,0.2216,468.0075
2.4667,0.1034,466.0852
2.4833,-0.0136,464.2879
2.5000,-0.1029,465.6560
2.5167,-0.1919,466.9967
2.5333,-0.2613,466.1933
2.5500,-0.3305,465.3758
2.5667,-0.3796,463.6353
2.5833,-0.4286,461.8949
2.6000,-0.4585,462.3051
2.6167,-0.4883,462.7259
2.6333,-0.5061,460.4287
2.6500,-0.5236,458.0949
2.6667,-0.5155,459.4712
2.6833,-0.5068,460.9116
2.7000,-0.4586,454.6304
2.7167,-0.4093,448.1417
2.7333,-0.3184,447.2782
2.7500,-0.2255,446.6914
2.7667,-0.0770,446.7898
2.7833,0.0747,446.9277
2.8000,0.2930,441.6444
2.8167,0.5204,435.6162
2.8333,0.7894,440.6403
2.8500,1.0625,446.7441
2.8667,1.3591,443.3136
2.8833,1.6579,438.9794
2.9000,1.9581,445.1059
2.9167,2.2585,452.5611
2.9333,2.5312,444.0511
2.9500,2.8002,433.3576
2.9667,3.0099,434.4704
2.9833,3.2115,437.1725
3.0000,3.3450,444.3849
3.0167,3.4659,452.4283
3.0333,3.5180,449.9722
3.0500,3.5563,445.4337
3.0667,3.5507,441.5885
3.0833,3.5361,437.8853
3.1000,3.5066,445.7373
3.1167,3.4740,455.9804
3.1333,3.4589,457.7284
3.1500,3.4480,457.3848
3.1667,3.4756,451.8669
3.1833,3.5136,444.9234
3.2000,3.5865,446.1701
3.2167,3.6688,449.6321
3.2333,3.7628,448.3983
3.2500,3.8601,445.8827
3.2667,3.9193,444.2288
3.2833,3.9658,442.8594
3.3000,3.9167,445.9216
3.3167,3.8323,450.6210
3.3333,3.6223,453.7053
3.3500,3.3768,456.3326
3.3667,3.0406,457.8127
3.3833,2.6795,458.9769
3.4000,2.2785,460.7701
3.4167,1.8630,462.7930
3.4333,1.4931,456.3230
3.4500,1.1365,447.3642
3.4667,0.8601,446.6898
3.4833,0.6062,448.3374
3.5000,0.4232,450.0329
3.5167,0.2631,451.7440
3.5333,0.1334,457.3263
3.5500,0.0162,464.5049
3.5667,-0.1067,460.6468
3.5833,-0.2317,452.8716
3.6000,-0.4036,451.3590
3.6167,-0.5902,451.7951
3.6333,-0.8748,457.8740
3.6500,-1.1931,465.8844
3.6667,-1.6125,461.5214
3.6833,-2.0645,453.1772
3.7000,-2.6134,451.1276
3.7167,-3.1981,451.4011
3.7333,-3.8214,458.2682
3.7500,-4.4566,467.1863
3.7667,-5.0867,467.2706
3.7833,-5.7149,463.9666
3.8000,-6.2618,464.7679
3.8167,-6.7765,467.1986
3.8333,-7.1285,470.6501
3.8500,-7.4224,474.4666
3.8667,-7.5181,477.5410
3.8833,-7.5399,480.3383
3.9000,-7.3585,483.9736
3.9167,-7.1017,487.9205
3.9333,-6.6752,485.7177
3.9500,-6.1753,480.8571
3.9667,-5.5591,485.9914
3.9833,-4.8923,495.4765
4.0000,-4.2082,488.5832
4.0167,-3.5174,475.2414
4.0333,-2.8923,471.5772
4.0500,-2.2936,471.7957
4.0667,-1.8281,481.2027
4.0833,-1.4130,494.0910
4.1000,-1.1276,485.9811
4.1167,-0.8954,469.2568
4.1333,-0.7502,466.0775
4.1500,-0.6426,468.7706
4.1667,-0.5771,473.1294
4.1833,-0.5285,478.1563
4.2000,-0.4802,477.4963
4.2167,-0.4320,474.5985
4.2333,-0.3699,479.9724
4.2500,-0.3014,489.0772
4.2667,-0.2254,489.6925
4.2833,-0.1464,486.7215
4.3000,-0.0649,487.0991
4.3167,0.0176,488.9814
4.3333,0.0864,486.8062
4.3500,0.1488,482.7146
4.3667,0.1836,478.8688
4.3833,0.2061,475.1325
4.4000,0.2020,471.1102
4.4167,0.1846,466.9444
4.4333,0.1425,463.7749
4.4500,0.0884,461.0842
4.4667,0.0233,461.5872
4.4833,-0.0472,463.5983
4.5000,-0.1080,464.2899
4.5167,-0.1644,464.3826
4.5333,-0.2013,459.3575
4.5500,-0.2278,451.6150
4.5667,-0.2322,449.9626
4.5833,-0.2255,451.3398
4.6000,-0.2059,444.8682
4.6167,-0.1799,434.5463
4.6333,-0.1502,434.4179
4.6500,-0.1185,439.8122
4.6667,-0.0908,443.4673
4.6833,-0.0651,446.2393
4.7000,-0.0512,447.5904
4.7167,-0.0443,448.0881
4.7333,-0.0489,447.4659
4.7500,-0.0597,446.2226
4.7667,-0.0786,447.7732
4.7833,-0.1016,450.7717
4.8000,-0.1325,451.9797
4.8167,-0.1680,452.1091
4.8333,-0.2040,454.4415
4.8500,-0.2402,458.1404
4.8667,-0.2680,459.1723
4.8833,-0.2910,458.7155
4.9000,-0.2989,460.8398
4.9167,-0.2989,464.3382
4.9333,-0.2902,464.1668
4.9500,-0.2760,461.7268
4.9667,-0.2603,463.0060
4.9833,-0.2438,466.3885
5.0000,-0.2320,469.8381
5.0167,-0.2230,473.3262
5.0333,-0.2249,472.5262
5.0500,-0.2334,469.1530
5.0667,-0.2486,467.2555
5.0833,-0.2679,466.2731
5.1000,-0.2838,466.6405
5.1167,-0.2976,467.8808
5.1333,-0.3063,467.9402
5.1500,-0.3117,467.2109
5.1667,-0.3118,463.5927
5.1833,-0.3084,458.1007
5.2000,-0.3018,456.8717
5.2167,-0.2931,458.3899
5.2333,-0.2894,459.8062
5.2500,-0.2895,461.1484
5.2667,-0.2948,461.4671
5.2833,-0.3037,461.0805
5.3000,-0.3114,460.0838
5.3167,-0.3182,458.6651
5.3333,-0.3159,458.4001
5.3500,-0.3070,458.9493
5.3667,-0.2878,454.0189
5.3833,-0.2616,445.4116
5.4000,-0.2298,449.2760
5.4167,-0.1941,461.3820
5.4333,-0.1588,464.4841
5.4500,-0.1238,461.8206
5.4667,-0.0935,458.5598
5.4833,-0.0665,454.8846
5.5000,-0.0464,450.1212
5.5167,-0.0306,444.6909
5.5333,-0.0190,449.2167
5.5500,-0.0102,459.9674
5.5667,-0.0047,461.5849
5.5833,-0.0013,457.3950
5.6000,0.0000,453.8406
5.6167,0.0000,450.6702
5.6333,0.0000,452.8509
5.6500,0.0000,457.9902
5.6667,0.0000,456.3663
5.6833,0.0000,450.6916
5.7000,0.0000,448.1715
5.7167,0.0000,447.5113
5.7333,0.0056,447.7486
5.7500,0.0144,448.4862
5.7667,0.0298,449.2402
5.7833,0.0491,450.0037
5.8000,0.0732,453.2167
5.8167,0.0999,457.8485
5.8333,0.1322,461.1692
5.8500,0.1675,463.7766
5.8667,0.2030,464.1965
5.8833,0.2387,463.4053
5.9000,0.2658,462.2012
5.9167,0.2885,460.7795
