ClusterID,Channel,UnitType,UnitArea
0,2,mua,Undefined
2,3,good,Undefined
3,4,good,Undefined
5,3,mua,Undefined
6,1,mua,Undefined
8,377,mua,VCX
10,4,good,Undefined
11,1,good,Undefined
14,5,good,Undefined
15,8,mua,Undefined
17,8,mua,Undefined
19,6,good,Undefined
20,7,good,Undefined
21,7,good,Undefined
22,8,good,Undefined
28,8,mua,Undefined
29,6,mua,Undefined
31,5,good,Undefined
32,10,good,Undefined
33,19,good,Undefined
34,12,mua,Undefined
35,12,good,Undefined
36,11,good,Undefined
37,11,good,Undefined
38,8,mua,Undefined
39,9,good,Undefined
40,11,mua,Undefined
41,12,good,Undefined
42,11,good,Undefined
43,16,good,Undefined
44,23,mua,Undefined
46,17,good,Undefined
48,11,good,Undefined
50,13,good,Undefined
53,16,mua,Undefined
54,20,mua,Undefined
55,13,good,Undefined
56,11,good,Undefined
57,13,good,Undefined
59,20,good,Undefined
60,18,good,Undefined
61,17,mua,Undefined
62,23,mua,Undefined
63,20,good,Undefined
64,19,mua,Undefined
65,20,good,Undefined
66,13,good,Undefined
67,13,mua,Undefined
68,17,good,Undefined
69,17,good,Undefined
70,20,good,Undefined
73,24,good,Undefined
76,23,mua,Undefined
77,26,good,Undefined
78,22,good,Undefined
79,24,mua,Undefined
81,23,mua,Undefined
82,24,good,Undefined
83,21,good,Undefined
84,27,good,Undefined
85,23,good,Undefined
86,27,good,Undefined
87,27,good,Undefined
89,27,good,Undefined
90,26,mua,Undefined
91,27,good,Undefined
92,28,good,Undefined
93,28,good,Undefined
94,28,good,Undefined
97,28,good,Undefined
98,26,good,Undefined
99,28,good,Undefined
100,26,good,Undefined
101,25,good,Undefined
102,30,good,Undefined
103,31,good,Undefined
105,29,mua,Undefined
108,30,mua,Undefined
109,29,good,Undefined
110,28,good,Undefined
111,32,good,Undefined
112,32,good,Undefined
113,29,mua,Undefined
114,29,good,Undefined
116,28,good,Undefined
117,29,good,Undefined
118,36,good,Undefined
