ClusterID,Channel,UnitType,UnitArea
0,1,mua,Undefined
2,1,good,Undefined
3,4,good,Undefined
5,4,good,Undefined
6,1,good,Undefined
7,5,mua,Undefined
9,6,mua,Undefined
12,5,good,Undefined
13,9,good,Undefined
14,12,mua,Undefined
16,6,good,Undefined
21,9,good,Undefined
22,9,mua,Undefined
23,12,mua,Undefined
25,10,mua,Undefined
26,10,good,Undefined
28,12,good,Undefined
29,12,good,Undefined
30,15,mua,Undefined
31,12,mua,Undefined
33,14,mua,Undefined
35,12,mua,Undefined
36,13,mua,Undefined
39,12,mua,Undefined
40,12,mua,Undefined
41,12,mua,Undefined
42,12,good,Undefined
44,13,good,Undefined
45,16,good,Undefined
46,14,good,Undefined
50,16,good,Undefined
51,20,mua,Undefined
52,19,mua,Undefined
53,17,mua,Undefined
54,17,good,Undefined
56,19,mua,Undefined
58,20,good,Undefined
59,20,good,Undefined
61,17,good,Undefined
62,20,good,Undefined
64,26,mua,Undefined
67,21,good,Undefined
68,21,good,Undefined
69,21,good,Undefined
77,27,good,Undefined
78,25,mua,Undefined
79,26,mua,Undefined
80,27,good,Undefined
81,28,good,Undefined
82,26,good,Undefined
83,29,mua,Undefined
84,25,mua,Undefined
90,29,good,Undefined
93,28,mua,Undefined
94,30,mua,Undefined
95,30,good,Undefined
96,25,good,Undefined
97,30,good,Undefined
100,32,good,Undefined
102,36,good,Undefined
104,34,mua,Undefined
105,33,good,Undefined
107,36,mua,Undefined
111,36,good,Undefined
116,40,mua,Undefined
119,40,good,Undefined
121,39,mua,Undefined
123,39,mua,Undefined
126,39,good,Undefined
128,37,good,Undefined
134,37,mua,Undefined
136,37,good,Undefined
137,42,good,TH
139,42,good,TH
143,42,good,TH
146,42,mua,TH
147,44,good,TH
150,44,mua,TH
153,46,mua,TH
154,48,good,TH
157,38,mua,Undefined
158,45,mua,TH
162,45,mua,TH
163,45,good,TH
165,50,mua,TH
168,50,mua,TH
169,52,good,TH
170,49,mua,TH
172,49,good,TH
173,7,good,Undefined
174,49,good,TH
178,58,mua,TH
179,57,good,TH
180,56,good,TH
183,56,good,TH
185,53,mua,TH
187,25,mua,Undefined
188,60,good,TH
190,12,mua,Undefined
193,57,good,TH
195,64,good,TH
197,64,good,TH
198,61,mua,TH
199,32,good,Undefined
201,63,good,TH
202,63,mua,TH
203,64,good,TH
205,63,good,TH
207,67,good,TH
208,68,good,TH
209,65,mua,TH
210,68,good,TH
217,66,good,TH
220,72,good,TH
222,69,mua,TH
223,69,good,TH
224,72,good,TH
228,72,good,TH
245,76,mua,TH
251,76,mua,TH
254,77,good,TH
259,77,mua,TH
267,79,good,TH
268,79,mua,TH
269,81,good,TH
270,84,good,TH
271,83,mua,TH
274,87,mua,TH
279,88,good,TH
283,86,mua,TH
285,88,good,TH
290,90,mua,TH
291,12,mua,Undefined
294,94,mua,TH
299,92,mua,TH
300,38,mua,Undefined
308,95,mua,TH
310,98,mua,TH
311,94,good,TH
312,93,mua,TH
313,96,mua,TH
316,92,good,TH
317,98,good,TH
325,97,good,TH
327,102,good,TH
328,12,mua,Undefined
330,101,good,TH
332,104,good,TH
335,29,mua,Undefined
336,41,mua,TH
338,105,mua,TH
339,292,mua,VCX
340,12,mua,Undefined
341,111,mua,Undefined
342,32,mua,Undefined
343,112,good,Undefined
344,367,mua,VCX
345,116,mua,Undefined
346,115,mua,Undefined
347,38,mua,Undefined
348,116,mua,Undefined
349,291,mua,VCX
350,119,mua,Undefined
351,123,mua,Undefined
352,123,good,Undefined
353,288,mua,VCX
354,128,mua,Undefined
355,119,good,Undefined
356,12,mua,Undefined
359,125,mua,Undefined
360,125,mua,Undefined
361,128,mua,Undefined
363,132,good,Undefined
365,132,mua,Undefined
367,132,good,Undefined
370,129,mua,Undefined
371,133,good,Undefined
372,134,good,Undefined
373,136,mua,HCX
377,133,good,Undefined
379,133,mua,Undefined
380,133,good,Undefined
382,137,good,HCX
384,142,mua,HCX
385,137,mua,HCX
386,140,good,HCX
