ClusterID,Channel,UnitType,UnitArea
0,3,mua,Undefined
3,1,mua,Undefined
9,2,good,Undefined
11,5,mua,Undefined
23,10,good,Undefined
28,11,good,Undefined
30,10,mua,Undefined
32,12,good,Undefined
33,12,mua,Undefined
34,14,good,Undefined
35,15,good,Undefined
37,15,mua,Undefined
40,16,good,Undefined
41,13,good,Undefined
42,14,good,Undefined
44,20,mua,Undefined
46,18,good,Undefined
47,18,good,Undefined
48,17,mua,Undefined
50,18,good,Undefined
52,22,mua,Undefined
53,22,mua,Undefined
61,21,mua,Undefined
67,26,mua,Undefined
74,30,mua,Undefined
76,32,mua,Undefined
81,30,good,Undefined
85,34,good,Undefined
86,38,good,Undefined
92,34,good,Undefined
93,32,mua,Undefined
94,34,mua,Undefined
97,34,mua,Undefined
98,38,good,Undefined
100,36,good,Undefined
102,38,mua,Undefined
103,37,mua,Undefined
105,39,mua,Undefined
108,38,mua,Undefined
114,37,good,Undefined
115,38,good,Undefined
116,44,mua,Undefined
118,42,good,Undefined
119,42,mua,Undefined
120,41,good,Undefined
121,43,good,Undefined
122,42,good,Undefined
126,46,good,Undefined
128,47,good,Undefined
129,46,good,Undefined
130,51,good,Undefined
131,52,good,Undefined
132,51,good,Undefined
133,49,mua,Undefined
134,52,good,Undefined
135,50,good,Undefined
136,52,good,Undefined
137,51,mua,Undefined
138,50,good,Undefined
141,53,mua,Undefined
142,53,mua,Undefined
143,56,mua,Undefined
144,56,mua,Undefined
145,60,mua,Undefined
146,31,mua,Undefined
147,59,good,Undefined
148,64,mua,Undefined
149,27,mua,Undefined
150,65,mua,Undefined
151,373,mua,Undefined
152,69,good,Undefined
154,71,mua,Undefined
155,74,good,Undefined
157,75,mua,Undefined
159,77,good,Undefined
163,88,good,Undefined
164,88,mua,Undefined
165,88,good,Undefined
166,87,good,Undefined
167,365,mua,Undefined
168,87,good,Undefined
169,86,good,Undefined
170,91,good,Undefined
172,89,mua,Undefined
173,89,good,Undefined
174,94,good,Undefined
175,94,mua,Undefined
176,95,mua,Undefined
178,97,good,Undefined
179,372,mua,Undefined
180,99,mua,Undefined
181,99,good,Undefined
182,99,mua,Undefined
183,100,good,Undefined
185,101,mua,Undefined
188,107,good,Undefined
192,111,good,Undefined
194,114,good,Undefined
195,115,good,Undefined
196,115,mua,Undefined
197,114,good,Undefined
198,119,good,Undefined
199,120,good,Undefined
201,144,mua,Undefined
204,124,mua,Undefined
206,127,mua,Undefined
207,128,mua,Undefined
208,135,mua,Undefined
210,134,good,Undefined
214,140,mua,Undefined
217,141,mua,Undefined
219,143,mua,Undefined
221,144,mua,Undefined
227,141,good,Undefined
233,152,mua,Undefined
236,148,good,Undefined
241,148,good,Undefined
245,147,good,Undefined
252,156,mua,Undefined
255,153,good,Undefined
258,157,mua,Undefined
259,157,mua,Undefined
261,158,mua,Undefined
263,150,mua,Undefined
268,170,mua,Undefined
269,176,good,Undefined
270,176,good,Undefined
274,178,good,Undefined
275,182,good,Undefined
277,183,good,Undefined
279,182,mua,Undefined
290,189,good,Undefined
291,189,good,Undefined
304,202,mua,Undefined
305,202,good,Undefined
309,201,mua,Undefined
311,202,good,Undefined
312,207,good,Undefined
313,202,good,Undefined
314,207,mua,Undefined
315,204,mua,Undefined
316,211,mua,Undefined
317,210,good,Undefined
318,145,mua,Undefined
320,214,mua,Undefined
322,214,mua,Undefined
323,214,good,Undefined
324,214,good,Undefined
325,219,mua,Undefined
326,18,good,Undefined
327,216,mua,Undefined
328,218,mua,Undefined
329,148,mua,Undefined
330,220,mua,Undefined
331,222,good,Undefined
332,220,mua,Undefined
334,225,good,Undefined
335,225,good,Undefined
339,228,mua,Undefined
340,232,mua,Undefined
341,228,mua,Undefined
342,231,mua,Undefined
343,233,good,Undefined
344,232,mua,Undefined
345,234,good,Undefined
348,237,good,Undefined
349,236,mua,Undefined
350,237,mua,Undefined
351,236,mua,Undefined
352,38,good,Undefined
353,241,good,Undefined
354,245,mua,Undefined
356,241,good,Undefined
357,240,mua,Undefined
358,242,good,Undefined
360,247,good,Undefined
361,249,good,Undefined
364,250,mua,Undefined
366,26,good,Undefined
368,253,good,Undefined
370,26,mua,Undefined
371,258,good,Undefined
372,257,good,Undefined
374,26,mua,Undefined
379,265,mua,Undefined
380,264,mua,Undefined
382,148,mua,Undefined
383,268,mua,Undefined
385,271,mua,Undefined
386,270,mua,Undefined
387,15,mua,Undefined
388,270,mua,Undefined
389,150,mua,Undefined
390,275,mua,Undefined
391,150,mua,Undefined
392,274,mua,Undefined
393,274,mua,Undefined
394,26,mua,Undefined
395,26,mua,Undefined
397,272,mua,Undefined
398,279,mua,Undefined
399,150,mua,Undefined
400,278,mua,Undefined
401,277,mua,Undefined
402,150,mua,Undefined
403,26,good,Undefined
404,19,mua,Undefined
406,276,mua,Undefined
407,150,mua,Undefined
408,283,mua,Undefined
412,146,good,Undefined
413,38,mua,Undefined
414,288,mua,Undefined
415,287,mua,Undefined
416,287,mua,Undefined
417,286,mua,Undefined
419,288,mua,Undefined
420,290,mua,Undefined
422,301,good,Undefined
423,293,good,Undefined
424,293,mua,Undefined
425,293,mua,Undefined
427,293,good,Undefined
436,302,good,Undefined
438,302,good,Undefined
440,303,mua,Undefined
445,150,mua,Undefined
446,304,mua,Undefined
447,307,mua,Undefined
452,303,mua,Undefined
453,309,mua,Undefined
454,310,mua,Undefined
456,309,good,Undefined
457,150,mua,Undefined
458,313,mua,Undefined
459,38,mua,Undefined
460,321,mua,Undefined
461,317,mua,Undefined
462,317,mua,Undefined
463,316,mua,Undefined
465,319,mua,Undefined
466,146,mua,Undefined
467,309,mua,Undefined
470,319,mua,Undefined
471,148,mua,Undefined
472,322,mua,Undefined
476,323,mua,Undefined
477,321,mua,Undefined
481,32,mua,Undefined
482,27,mua,Undefined
483,26,mua,Undefined
484,324,good,Undefined
485,325,mua,Undefined
487,326,good,Undefined
491,328,mua,Undefined
492,50,mua,Undefined
493,331,mua,Undefined
494,329,mua,Undefined
496,148,mua,Undefined
498,332,mua,Undefined
499,332,mua,Undefined
501,333,mua,Undefined
502,336,mua,Undefined
505,147,mua,Undefined
506,337,mua,Undefined
508,30,mua,Undefined
510,339,mua,Undefined
512,341,mua,Undefined
515,26,mua,Undefined
516,340,mua,Undefined
517,344,good,Undefined
519,26,mua,Undefined
520,38,mua,Undefined
521,145,mua,Undefined
522,347,mua,Undefined
523,27,mua,Undefined
525,345,mua,Undefined
526,344,mua,Undefined
528,150,mua,Undefined
529,351,mua,Undefined
531,350,mua,Undefined
533,34,mua,Undefined
534,143,mua,Undefined
535,348,mua,Undefined
