ClusterID,Channel,UnitType,UnitArea
0,2,mua,Undefined
2,7,mua,Undefined
3,4,mua,Undefined
5,3,good,Undefined
7,1,good,Undefined
8,10,mua,Undefined
10,8,mua,Undefined
12,6,mua,Undefined
13,8,mua,Undefined
14,5,good,Undefined
16,8,good,Undefined
17,11,mua,Undefined
23,12,mua,Undefined
24,11,mua,Undefined
25,9,good,Undefined
26,15,mua,Undefined
27,13,mua,Undefined
35,15,good,Undefined
36,16,good,Undefined
38,14,mua,Undefined
58,18,mua,Undefined
61,24,mua,Undefined
63,23,mua,Undefined
65,21,mua,Undefined
74,24,mua,Undefined
78,28,mua,Undefined
84,30,mua,Undefined
92,26,mua,Undefined
97,29,mua,Undefined
98,29,mua,Undefined
102,30,good,Undefined
103,30,mua,Undefined
105,30,mua,Undefined
106,32,good,Undefined
107,31,good,Undefined
108,34,good,Undefined
109,36,good,Undefined
110,33,mua,Undefined
113,35,good,Undefined
114,35,mua,Undefined
118,44,mua,Undefined
119,43,mua,Undefined
120,44,mua,Undefined
121,44,good,Undefined
122,44,mua,Undefined
124,41,mua,Undefined
126,43,mua,Undefined
127,45,good,Undefined
128,48,good,Undefined
129,47,good,Undefined
130,46,mua,Undefined
131,48,good,Undefined
132,45,mua,Undefined
133,47,good,Undefined
134,50,good,Undefined
135,50,good,Undefined
136,51,good,TH
137,50,good,Undefined
140,49,good,Undefined
141,52,good,TH
142,52,mua,TH
143,51,good,TH
144,53,mua,TH
145,56,good,TH
146,55,mua,TH
147,54,good,TH
148,55,good,TH
149,54,good,TH
150,55,good,TH
151,58,mua,TH
153,58,good,TH
154,60,good,TH
164,57,mua,TH
165,62,mua,TH
168,62,good,TH
169,63,good,TH
170,61,good,TH
171,62,good,TH
173,67,mua,TH
178,67,mua,TH
183,67,good,TH
185,67,good,TH
186,67,good,TH
188,72,good,TH
190,72,good,TH
191,71,good,TH
192,70,good,TH
193,71,good,TH
194,69,good,TH
195,71,good,TH
200,75,mua,TH
202,73,good,TH
204,74,mua,TH
206,75,mua,TH
215,78,good,TH
217,80,good,TH
224,78,good,TH
226,81,mua,TH
228,83,good,TH
229,82,good,TH
230,82,good,TH
242,86,good,TH
244,92,good,TH
245,92,good,TH
246,92,good,TH
248,89,good,TH
250,89,good,TH
251,90,good,TH
254,95,mua,TH
256,93,mua,TH
267,95,good,TH
269,99,good,TH
270,98,good,TH
271,99,good,TH
277,99,good,TH
279,103,good,TH
280,104,mua,TH
281,103,good,TH
283,104,good,TH
286,103,good,TH
289,103,good,TH
292,71,good,TH
293,107,mua,TH
294,107,good,TH
295,106,good,TH
296,111,mua,TH
297,107,mua,TH
298,67,mua,TH
299,114,mua,TH
300,115,mua,TH
301,59,mua,TH
302,120,mua,TH
303,130,mua,Undefined
304,122,good,Undefined
305,120,good,TH
306,122,mua,Undefined
307,127,mua,Undefined
308,94,mua,TH
309,130,mua,Undefined
311,127,good,Undefined
312,126,mua,Undefined
314,126,mua,Undefined
315,127,good,Undefined
317,131,mua,Undefined
318,131,mua,Undefined
319,131,mua,Undefined
321,131,mua,Undefined
330,136,mua,Undefined
333,135,good,Undefined
337,136,mua,Undefined
342,134,good,Undefined
345,139,good,Undefined
348,139,mua,Undefined
350,143,good,HCX
351,144,good,HCX
352,139,mua,Undefined
353,139,mua,Undefined
354,143,mua,HCX
355,143,good,HCX
356,147,mua,HCX
358,146,mua,HCX
359,153,mua,HCX
361,151,good,HCX
362,152,good,HCX
368,155,mua,HCX
376,155,good,HCX
377,158,good,HCX
378,159,good,HCX
379,157,mua,HCX
381,159,mua,HCX
382,158,mua,HCX
383,163,mua,HCX
384,163,mua,HCX
385,163,good,HCX
386,154,mua,HCX
387,161,mua,HCX
388,159,mua,HCX
389,161,mua,HCX
390,167,mua,HCX
391,167,mua,HCX
392,165,good,HCX
393,171,mua,HCX
394,171,mua,HCX
395,175,mua,HCX
396,78,mua,TH
397,179,mua,HCX
398,179,mua,HCX
399,181,mua,HCX
400,183,good,HCX
401,183,mua,HCX
405,189,good,HCX
407,193,good,HCX
408,194,good,HCX
409,195,mua,HCX
410,194,good,HCX
411,195,mua,HCX
412,194,mua,HCX
413,192,mua,HCX
414,193,good,HCX
415,192,good,HCX
418,194,good,HCX
419,197,mua,HCX
422,196,good,HCX
423,203,mua,HCX
424,201,good,HCX
426,221,good,HCX
430,211,good,HCX
433,208,good,HCX
436,221,good,HCX
440,214,mua,HCX
444,217,mua,HCX
462,220,mua,HCX
489,222,mua,HCX
502,221,good,HCX
504,220,mua,HCX
508,227,good,HCX
509,226,mua,HCX
510,227,good,HCX
517,228,mua,HCX
518,228,mua,HCX
519,229,good,HCX
521,235,mua,HCX
523,234,mua,HCX
524,233,mua,HCX
527,237,good,HCX
529,221,good,HCX
531,237,mua,HCX
532,237,good,HCX
533,238,good,HCX
534,238,good,HCX
535,237,good,HCX
536,240,mua,HCX
537,240,mua,HCX
538,242,mua,HCX
540,241,good,HCX
542,245,good,HCX
543,246,mua,HCX
544,248,mua,HCX
545,244,mua,HCX
546,246,good,HCX
547,244,mua,HCX
548,246,good,HCX
549,248,good,HCX
551,75,mua,TH
553,252,mua,HCX
555,256,good,HCX
557,257,good,HCX
558,260,good,HCX
559,259,good,HCX
560,259,good,HCX
561,257,good,HCX
563,259,good,HCX
566,260,good,HCX
567,261,good,Undefined
571,260,good,HCX
574,264,good,Undefined
576,260,good,HCX
577,261,good,Undefined
579,260,good,HCX
580,261,good,Undefined
583,260,good,HCX
584,265,good,Undefined
585,265,good,Undefined
587,267,good,Undefined
588,264,mua,Undefined
591,267,good,Undefined
592,264,good,Undefined
595,266,good,Undefined
599,271,mua,Undefined
603,273,good,Undefined
606,274,mua,Undefined
608,273,mua,Undefined
609,273,good,Undefined
610,66,mua,TH
611,278,mua,Undefined
613,276,mua,Undefined
614,283,mua,Undefined
615,282,mua,Undefined
617,282,mua,Undefined
618,283,good,Undefined
619,283,mua,Undefined
620,285,mua,Undefined
622,286,good,Undefined
623,288,good,Undefined
624,289,mua,Undefined
625,290,good,Undefined
626,290,good,Undefined
628,294,mua,Undefined
629,294,mua,Undefined
630,85,mua,TH
631,296,mua,Undefined
632,220,mua,HCX
633,297,good,Undefined
634,299,mua,Undefined
635,297,good,Undefined
636,298,good,Undefined
637,297,mua,Undefined
638,220,mua,HCX
639,301,mua,Undefined
640,303,mua,Undefined
641,302,mua,Undefined
642,300,mua,Undefined
643,25,mua,Undefined
644,301,mua,Undefined
645,305,mua,Undefined
646,92,mua,TH
647,95,mua,TH
648,89,mua,TH
649,304,mua,Undefined
650,307,mua,Undefined
651,78,mua,TH
652,99,mua,TH
653,311,good,Undefined
654,311,mua,Undefined
655,308,mua,Undefined
656,311,mua,Undefined
657,78,mua,TH
658,55,mua,TH
661,89,mua,TH
662,315,mua,Undefined
663,312,mua,Undefined
664,73,mua,TH
665,315,mua,Undefined
666,94,mua,TH
667,78,mua,TH
668,75,mua,TH
669,317,mua,Undefined
670,319,mua,Undefined
671,318,mua,Undefined
672,87,mua,TH
673,316,mua,Undefined
674,220,mua,HCX
675,323,mua,Undefined
677,320,mua,Undefined
678,26,mua,Undefined
679,320,mua,Undefined
680,82,mua,TH
681,75,mua,TH
682,222,mua,HCX
683,85,mua,TH
684,87,mua,TH
686,324,mua,Undefined
687,89,mua,TH
