ClusterID,Channel,UnitType,UnitArea
0,3,good,Undefined
1,4,mua,Undefined
2,2,good,Undefined
3,1,mua,Undefined
4,3,good,Undefined
5,4,mua,Undefined
6,1,good,Undefined
7,2,good,Undefined
8,3,mua,Undefined
9,8,mua,Undefined
10,7,good,Undefined
11,7,good,Undefined
12,7,good,Undefined
13,6,good,Undefined
14,6,good,Undefined
15,9,mua,Undefined
16,10,good,Undefined
17,12,good,Undefined
18,11,good,Undefined
19,10,mua,Undefined
20,12,mua,Undefined
21,10,good,Undefined
22,12,good,Undefined
23,10,good,Undefined
24,12,good,Undefined
25,11,good,Undefined
26,17,good,Undefined
27,14,good,Undefined
28,13,good,Undefined
29,16,good,Undefined
30,16,good,Undefined
32,16,mua,Undefined
33,14,good,Undefined
35,15,good,Undefined
36,14,good,Undefined
37,16,good,Undefined
38,15,good,Undefined
39,16,good,Undefined
40,14,good,Undefined
41,17,good,Undefined
42,17,good,Undefined
43,20,good,Undefined
45,17,good,Undefined
47,18,mua,Undefined
48,22,mua,Undefined
49,18,good,Undefined
50,26,good,Undefined
51,18,good,Undefined
52,18,good,Undefined
53,20,good,Undefined
55,18,good,Undefined
59,24,good,Undefined
60,22,mua,Undefined
62,24,good,Undefined
63,22,good,Undefined
64,23,good,Undefined
65,23,good,Undefined
66,23,good,Undefined
68,25,good,Undefined
69,26,good,Undefined
70,27,good,Undefined
72,25,good,Undefined
73,25,good,Undefined
77,25,good,Undefined
79,27,good,Undefined
81,30,good,Undefined
82,30,good,Undefined
83,30,good,Undefined
84,29,good,Undefined
85,29,good,Undefined
86,30,good,Undefined
87,28,good,Undefined
88,31,mua,Undefined
89,29,good,Undefined
90,31,good,Undefined
91,31,good,Undefined
92,35,good,Undefined
93,35,mua,Undefined
94,35,mua,Undefined
95,34,good,Undefined
96,36,mua,Undefined
97,34,good,Undefined
98,32,good,Undefined
99,33,good,Undefined
101,35,good,Undefined
102,36,good,Undefined
103,34,good,Undefined
104,35,good,Undefined
105,42,good,Undefined
106,38,good,Undefined
107,39,mua,Undefined
108,40,good,Undefined
109,38,good,Undefined
110,39,good,Undefined
111,38,good,Undefined
113,40,good,Undefined
114,37,good,Undefined
117,41,good,Undefined
118,43,mua,Undefined
119,41,good,Undefined
120,42,good,Undefined
121,41,good,Undefined
122,42,good,Undefined
123,44,good,Undefined
124,43,good,Undefined
126,44,good,Undefined
127,47,mua,Undefined
128,45,good,Undefined
129,47,good,Undefined
130,47,mua,Undefined
131,46,good,Undefined
132,46,good,Undefined
133,46,good,Undefined
134,50,good,Undefined
135,49,good,Undefined
136,50,good,Undefined
137,50,good,Undefined
139,52,good,TH
140,51,good,TH
143,50,good,Undefined
144,54,good,TH
147,55,good,TH
148,54,good,TH
149,53,good,TH
150,55,good,TH
151,55,good,TH
152,59,good,TH
153,55,good,TH
154,57,good,TH
155,60,good,TH
156,59,good,TH
157,60,good,TH
158,58,good,TH
159,60,good,TH
160,57,good,TH
161,60,good,TH
162,58,good,TH
163,59,good,TH
164,63,good,TH
165,62,good,TH
166,62,good,TH
167,64,good,TH
168,61,good,TH
169,63,good,TH
